NUM_REMITO,FECHA_PESAJE,COD_CC,VARIEDAD,FINCA,KG_BRUTO,KG_TARA,KG_NETO,BRIX,LTS_MOSTO,ESTADO_SANIDAD
REM_00178,2025-03-17,CC-101,syrah,Finca Altamira,24085,8102,15983.0,23.9,11409.1,Aceptable
REM-2025-00179,2025-03-17, CC-101 , CHARDONNAY ,Finca Altamira,19221,10860,8361.0,"25,5",5711.7,
 rem/00180 ,2025-03-18,CC-102,syrah, Finca Gualtallary ,27336,10553,16783.0,26.0,11767.4, BUENA 
 rem/00181 ,2025/03/18,CC-102,chardonnay,Finca Agrelo,20681,8990,,"23,6",8137.5,Optima
REM-2025-00182,2025-03-18,CC-101, SYRAH ,Finca Barrancas,29683,10815,18868.0,"23,0",12970.3, BUENA 
REM-2025-00183,2025-03-18,CC-102,Chardonnay,Finca Barrancas,23822,10549,13273.0,25.4,9281.7,Aceptable
REM-2025-00184,2025/03/19, CC-102 ,Chardonnay,Finca Agrelo,25795,8337,17458.0,"23,0",12829.6,
REM-2025-00185,2025-03-19, CC-101 ,chardonnay,Finca Barrancas,26328,10555,15773.0,24.3,10761.6,
REM-2025-00186,19/03/2025, CC-102 , CABERNET FRANC ,Finca Altamira,31493,9897,21596.0,24.6,14947.1,optima
REM-2025-00187,19/03/2025, CC-102 , CHARDONNAY ,Finca Altamira,20907,10914,9993.0,24.0,7297.2, BUENA 
REM_00188,20/03/2025, CC-101 ,Bonarda, Finca Barrancas ,30720,8998,21722.0,24.5,15162.0,Buena
REM-2025-00189,2025/03/20, CC-102 , SYRAH ,Finca Barrancas,18395,8414,9981.0,25.2,6907.3,
REM-2025-00190,2025/03/20,CC-101, MALBEC ,Finca Agrelo,22636,9649,12987.0,"23,3",9075.4,Optima
REM-2025-00191,2025-03-20, CC-101 ,Chardonnay,Finca Gualtallary,22179,8270,13909.0,25.1,10041.8,optima
 rem/00192 ,21/03/2025, CC-101 ,cabernet franc,Finca Agrelo,21237,8058,13179.0,"25,7",9330.5, BUENA 
REM-2025-00193,21/03/2025, CC-101 , MALBEC , Finca Barrancas ,27719,9729,,22.9,13178.7,
REM_00194,2025-03-21,CC-102, BONARDA ,Finca Agrelo,29492,10486,19006.0,22.9,12955.4,Aceptable
REM-2025-00195,2025-03-21,CC-102, BONARDA ,Finca Altamira,19737,8904,10833.0,26.3,7743.3,Optima
REM-2025-00196, 22/03/2025 , CC-102 , CABERNET FRANC ,Finca Gualtallary,29723,9716,20007.0,"25,4",14211.4,Aceptable
REM_00197,2025-03-22,CC-102,Bonarda,Finca Gualtallary,26266,8294,17972.0,23.3,13025.0,Optima
REM_00198, 2025/03/22 ,CC-101,Chardonnay,Finca Barrancas,27230,9234,17996.0,"25,2",12770.1,
REM-2025-00199,22/03/2025,CC-102,Cabernet Franc,Finca Altamira,26563,10027,16536.0,22.6,11968.7,optima
 rem/00200 ,2025/03/23,CC-101,Malbec, Finca Agrelo ,27284,9283,18001.0,"22,7",12726.8, BUENA 
REM-2025-00201, 2025-03-23 ,CC-101,Chardonnay,Finca Altamira,22466,9442,13024.0,22.7,8967.4,optima
REM-2025-00202,2025-03-23,CC-101,cabernet franc, Finca Agrelo ,25111,8242,16869.0,"23,6",11844.8,
REM-2025-00203,2025-03-23, CC-102 , CHARDONNAY ,Finca Altamira,25262,10273,14989.0,26.0,10201.5,
REM-2025-00204,2025-03-24,CC-101,malbec,Finca Altamira,22491,8611,13880.0,24.8,9714.6,Buena
REM-2025-00205,2025-03-24,CC-102,cabernet franc,Finca Gualtallary,19422,8406,11016.0,"24,5",7820.8,
REM-2025-00206,2025-03-24,CC-102, CHARDONNAY ,Finca Agrelo,20269,9179,11090.0,"24,1",7701.6,
 rem/00207 ,2025/03/24,CC-101,Chardonnay,Finca Gualtallary,27631,10418,17213.0,22.9,11970.1, BUENA 
REM-2025-00208,25/03/2025, CC-102 ,Chardonnay,Finca Gualtallary,29095,8228,20867.0,"22,9",14438.7,Buena
 rem/00209 ,25/03/2025, CC-102 ,Chardonnay,Finca Barrancas,25847,9070,16777.0,22.5,12051.3,Buena
REM-2025-00210,2025-03-25,CC-102,Bonarda,Finca Barrancas,21095,8320,12775.0,26.2,8758.8,Buena
 rem/00211 ,2025-03-25,CC-101, BONARDA , Finca Altamira ,19386,8667,10719.0,"24,9",7289.7, BUENA 
REM_00212,2025/03/26, CC-102 , BONARDA ,Finca Agrelo,28196,9930,,25.1,12520.0,optima
REM-2025-00213,2025-03-26, CC-102 , CABERNET FRANC ,Finca Gualtallary,31353,10426,20927.0,"23,8",14735.4, BUENA 
REM_00214,2025-03-26,CC-102,Chardonnay,Finca Gualtallary,20327,8617,11710.0,"26,1",8449.4,Aceptable
REM-2025-00215,26/03/2025,CC-102,Bonarda,Finca Gualtallary,26067,10147,15920.0,25.6,11592.8,optima
REM-2025-00216,2025/03/27, CC-101 ,Cabernet Franc,Finca Agrelo,22381,10375,12006.0,"24,0",8433.0,Buena
REM_00217,27/03/2025,CC-102,Malbec,Finca Gualtallary,23560,8737,14823.0,23.9,10441.1,
REM-2025-00218,27/03/2025, CC-102 ,syrah,Finca Gualtallary,24054,9894,14160.0,"22,9",10162.5, BUENA 
REM-2025-00219,2025-03-27,CC-101,Chardonnay,Finca Altamira,22581,9513,13068.0,"25,6",9192.2,
REM-2025-00220,2025-03-28, CC-101 ,cabernet franc,Finca Agrelo,19030,9765,9265.0,"26,1",6608.2,
REM-2025-00221,28/03/2025, CC-101 ,Syrah,Finca Gualtallary,29998,10414,19584.0,24.0,14307.8,Aceptable
 rem/00222 ,2025-03-28,CC-101,malbec,Finca Gualtallary,27455,10427,17028.0,"25,1",12464.7,optima
REM_00223,28/03/2025, CC-102 ,Cabernet Franc,Finca Agrelo,29014,8918,20096.0,26.2,13779.6,Optima
REM_00224,2025/03/29, CC-102 , MALBEC ,Finca Agrelo,23993,8402,15591.0,"25,5",11310.0,Aceptable
REM-2025-00225,29/03/2025,CC-101, BONARDA ,Finca Barrancas,18209,9064,9145.0,"23,2",6656.1,Optima
