ID_REGISTRO,FECHA_ASIENTO,CENTRO_COSTO,CUENTA_CONTABLE,MONTO_PRESUPUESTADO,MONTO_REAL
OPX-2025-0027,2025-04-01, CC-202 ,5.2.04,17229139.39,17572315.43
OPX-2025-0028,2025-04-01,CC-203,5.2.02,14276128.26,15685470.45
OPX-2025-0029,2025-05-01,CC-101, 5.2.01 ,8084015.37,7688361.73
OPX-2025-0030,2025-05-01,CC-102,5.2.02,14797900.07,15999841.47
OPX-2025-0031,2025-05-01, CC-103 ,5.2.02,16427319.31,16284788.97
OPX-2025-0032,2025-05-01,CC-104, 5.2.03 ,7982738.93,7953297.99
OPX-2025-0033,2025-05-01,CC-201,5.2.02,9538080.49,9195312.59
OPX-2025-0034,2025-05-01, CC-202 , 5.2.04 ,15494943.13,14202912.16
OPX-2025-0035,2025-05-01,CC-203,5.2.02,16103393.39,16008177.23
OPX-2025-0036,2025-06-01,CC-101,5.2.02,13556703.24,12468418.43
OPX-2025-0037,2025-06-01,CC-102,5.2.04,10710949.86,9851226.92
OPX-2025-0038,2025-06-01,CC-103, 5.2.01 ,17576980.95,18940911.83
OPX-2025-0039,2025-06-01, CC-104 ,5.2.01,12055960.3,11443427.83
OPX-2025-0040,2025-06-01,CC-201,5.2.01,17268006.16,16850314.69
OPX-2025-0041,2025-06-01, CC-202 , 5.2.02 ,8770828.75,8980417.93
OPX-2025-0042,2025-06-01,CC-203, 5.2.02 ,17381515.32,15658010.56
OPX-2025-0043,2025-07-01, CC-101 ,5.2.01,9619373.28,10643437.15
OPX-2025-0044,2025-07-01,CC-102, 5.2.03 ,8881945.64,8215031.96
OPX-2025-0045,2025-07-01,CC-103, 5.2.03 ,13272059.37,14461310.76
OPX-2025-0046,2025-07-01, CC-104 ,5.2.02,12248207.99,13703345.76
OPX-2025-0047,2025-07-01, CC-201 ,5.2.02,14470888.69,13259624.36
OPX-2025-0048,2025-07-01,CC-202,5.2.01,17921153.45,17737223.85
OPX-2025-0049,2025-07-01,CC-203,5.2.01,10161427.87,10392431.88
OPX-2025-0050,2025-08-01,CC-101,5.2.03,10347383.51,9509459.14
OPX-2025-0051,2025-08-01, CC-102 ,5.2.03,7015711.77,7008052.98
OPX-2025-0052,2025-08-01,CC-103,5.2.01,16205497.64,16625371.4
OPX-2025-0053,2025-08-01, CC-104 , 5.2.01 ,17991280.29,17327514.71
OPX-2025-0054,2025-08-01, CC-201 , 5.2.01 ,10085005.71,9430941.47
OPX-2025-0055,2025-08-01,CC-202,5.2.01,8804699.47,8476645.62
OPX-2025-0056,2025-08-01, CC-203 ,5.2.03,15721240.5,17281832.92
OPX-2025-0057,2025/09/01,CC-101,5.2.01,17725958.87,16859225.49
OPX-2025-0058,2025/09/01,CC-102, 5.2.03 ,16694273.0,16230441.32
OPX-2025-0059,2025/09/01,CC-103, 5.2.03 ,8241245.99,8994541.07
OPX-2025-0060,2025/09/01,CC-104, 5.2.01 ,13997161.98,13104714.09
OPX-2025-0061,2025/09/01, CC-201 ,5.2.04,11728143.83,11296509.35
OPX-2025-0062,2025/09/01, CC-202 ,5.2.01,15104740.26,15100987.8
OPX-2025-0063,2025/09/01,CC-203,5.2.03,17882079.4,16309241.37
OPX-2025-0064,01/10/2025,CC-101,5.2.04,10905167.93,10970795.63
OPX-2025-0065,01/10/2025, CC-102 ,5.2.04,12534469.1,12152241.51
OPX-2025-0066,01/10/2025,CC-103,5.2.01,15021642.74,16410308.83
OPX-2025-0067,01/10/2025,CC-104,5.2.04,17325912.32,18662096.08
OPX-2025-0068,01/10/2025,CC-201, 5.2.03 ,16356382.17,16701828.41
OPX-2025-0069,01/10/2025,CC-202,5.2.02,16084770.49,15550287.4
OPX-2025-0070,01/10/2025,CC-203,5.2.02,11383266.38,11038590.9
OPX-2025-0071,2025/11/01,CC-101,5.2.02,12141260.69,11689939.87
OPX-2025-0072,2025/11/01,CC-102,5.2.01,17577725.86,17029754.64
OPX-2025-0073,2025/11/01,CC-103,5.2.04,8078489.92,8206936.1
OPX-2025-0074,2025/11/01,CC-104, 5.2.01 ,7628089.86,7050792.18
OPX-2025-0075,2025/11/01, CC-201 ,5.2.02,9413283.28,9433588.25
OPX-2025-0076,2025/11/01,CC-202,5.2.04,11765760.26,12659160.43
OPX-2025-0077,2025/11/01,CC-203,5.2.01,15134221.19,15040238.05
OPX-2025-0078,2025/12/01, CC-101 , 5.2.02 ,10670746.28,10346602.43
OPX-2025-0079,2025/12/01,CC-102,5.2.01,15513945.96,14140278.03
OPX-2025-0080,2025/12/01,CC-103, 5.2.03 ,7141038.14,7676757.15
OPX-2025-0081,2025/12/01, CC-104 ,5.2.01,12248610.14,11376433.77
OPX-2025-0082,2025/12/01,CC-201,5.2.02,9591225.28,10599750.96
OPX-2025-0083,2025/12/01,CC-202,5.2.02,16454532.73,17378499.35
OPX-2025-0084,2025/12/01,CC-203, 5.2.02 ,12304477.53,12482538.06
OPX-2025-0085,2025-06-01,CC-999,5.2.01,5000000.0,5200000.0
