VBELN,FKDAT,MATNR,KUNNR,FKIMG,NETWR,WAVWR,VKBUR,INCO1
90027236,14-02-2024, prd-33 ,CLI-1386,227,21619524.07,8255766.39, cc-202 , horeca 
90015580,18-02-2022,PRD-19,CLI-1621,254,3807104.39,1502180.73,CC-202,DIST
90007018,13/05/2023, prd-08 ,CLI-1227,142,9446325.95,3096857.32, cc-202 , horeca 
90022226,22/09/2024,PRD-27,CLI-1097,112,9095458.27,4593053.18,CC-202,HORECA
90012001,2025-11-25, prd-13 ,CLI-1766,167,1768712.2,9905332.55, cc-203 , fob 
90022671,2024/02/12, prd-28 ,CLI-1006,97,10383832.61,4311145.25, cc-202 , horeca 
90016847,2025/08/01,PRD-20,CLI-1766,144,68334787.66,20734877.36,CC-101,RETAIL
90008799,2021/10/01,prd-10,CLI-1363,68,719034.18,283449.33,cc-101,retail
90005552,11-02-2024,PRD-06,CLI-1687,73,3854980.14,1808512.86,CC-202,RETAIL
90017121,2022-01-04,PRD-21 ,CLI-1865,63,335956.24,162979.37,CC-101 ,HORECA 
90010570,25/10/2022,prd-12,CLI-1662,142,1151243.06,563693.59,cc-101,dist
90018302,22/03/2023,PRD-22,CLI-1030,160,3821735.63,1452863.46,CC-202,RETAIL
90016869,2025-09-10,PRD-20,CLI-1854,250,6741440.51,37465745.98,CC-203,FOB
90001918,23/12/2022,prd-02,CLI-1169,92,1984248.83,782879.44,cc-101,horeca
90016130,08/05/2021,PRD-20,CLI-1840,184,3973422.35,1324101.76,CC-202,HORECA
90029530,08/05/2022,PRD-36,CLI-1093,139,2576644.36,1154096.44,CC-101,RETAIL
90016275,2022/02/07,prd-20,CLI-1954,214,402669.11,2043701.03,cc-203,fob
90025651,2021/09/25,PRD-32,CLI-1815,258,290335.9,1031965.55,CC-203,FOB
90010737,2024-02-06,PRD-12,CLI-1070,183,7375820.98,3288208.22,CC-202,HORECA
90016759,2024/11/03,PRD-20,CLI-1564,172,64455219.27,19949222.61,CC-202,RETAIL
90006488,11-06-2025,PRD-07,CLI-1063,167,29404028.21,11790358.44,CC-202,RETAIL
90027299,2024/07/19,PRD-33,CLI-1803,131,18904742.24,6610338.66,CC-202,HORECA
90015328,05-12-2024,PRD-18,CLI-1972,96,336888.68,4556187.3,CC-203,FOB
90027266,04/04/2024,PRD-33,CLI-1295,219,2178784.11,9897434.56,CC-203,FOB
90022171,2024/03/10,PRD-27,CLI-1611,169,10585280.12,5018876.37,CC-101,RETAIL
90019339,2025/07/27,PRD-23,CLI-1680,147,785787.4,5607605.33,CC-203,FOB
90009571,2021/04/27,PRD-11,CLI-1901,59,110120.02,338566.26,CC-203,FOB
90025123,2023/08/10,prd-31,CLI-1438,136,5560074.11,2144106.84,cc-101,retail
90019357,2025-08-05,PRD-23 ,CLI-1940,142,11085328.51,5341053.66,CC-202 ,HORECA 
90011422,10/11/2022,PRD-13,CLI-1180,223,4071171.72,1434219.86,CC-101,HORECA
90024243,2023/11/09,PRD-30,CLI-1623,147,6496166.36,2726683.06,CC-202,DIST
90020988,05-08-2024, prd-25 ,CLI-1265,209,10698846.45,5414414.52, cc-101 , retail 
90028519,2022/02/18,PRD-35,CLI-1696,63,1105649.71,498070.5,CC-101,RETAIL
90012283,2022/07/15,PRD-14,CLI-1494,149,1250162.58,610613.05,CC-101,RETAIL
90023656,24-08-2025,PRD-29,CLI-1029,97,7891284.02,3760808.07,CC-101,HORECA
90028778,11/06/2023,PRD-35,CLI-1406,55,2436926.03,1195014.6,CC-202,RETAIL
90006600,21-03-2021, prd-08 ,CLI-1876,220,422925.15,1264932.53, cc-203 , fob 
90005345,2023-01-03,PRD-06,CLI-1455,153,2001269.59,929192.71,CC-101,DIST
90015484,18-04-2021,prd-19,CLI-1717,235,2376211.58,1002815.23,cc-202,retail
90003173,2024-03-06,PRD-03,CLI-1300,78,1208751.72,5147848.04,CC-203,FOB
90018894,01/05/2022,PRD-23,CLI-1092,203,1261425.15,626646.14,CC-101,RETAIL
90022426,02/09/2021,PRD-28,CLI-1348,139,95821.57,656922.13,CC-203,FOB
90022717,2024-07-08,PRD-28,CLI-1461,189,27431393.53,11029929.57,CC-202,DIST
90029672,24-01-2023,PRD-36,CLI-1305,200,5965513.9,2591019.39,CC-202,HORECA
90011031,2021/03/20,PRD-13,CLI-1218,190,105603.14,506109.05,CC-203,FOB
90009817,2022-08-16,PRD-11,CLI-1761,135,4939371.94,1507186.49,CC-101,DIST
90012640,24-05-2024,PRD-14,CLI-1278,29,1707753.1,817901.4,CC-101,HORECA
90013160,03-11-2022,prd-15,CLI-1872,32,593091.55,261426.83,cc-101,dist
90013648,15-04-2022,PRD-16,CLI-1871,92,698525.1,300741.62,CC-202,RETAIL
90014810,22/06/2021,PRD-18,CLI-1509,66,430078.05,190254.58,CC-202,RETAIL
90022928,21-05-2021,PRD-29,CLI-1299,165,677186.52,324088.49,CC-202,DIST
90008163,2023/08/05,PRD-09,CLI-1777,259,5072834.8,2516030.92,CC-202,DIST
90010678,23/09/2023,PRD-12,CLI-1900,190,3371560.62,1729514.0,CC-202,RETAIL
90027452,27-03-2025,PRD-33,CLI-1825,165,26493639.65,10110867.5,CC-202,DIST
90016764,12-12-2024, prd-20 ,CLI-1966,245,89759849.84,29270026.12, cc-101 , horeca 
90011336,20-08-2022,PRD-13 ,CLI-1824,31,441445.05,165765.18,CC-202 ,RETAIL 
90025895,2022/09/25,PRD-32,CLI-1727,169,3115874.31,1268324.54,CC-101,HORECA
90022354,09/12/2025,PRD-27,CLI-1950,94,10619083.23,5536967.75,CC-101,RETAIL
90017927,2025/12/13,prd-21,CLI-1573,37,3256239.73,1681118.14,cc-101,dist
90028963,2024/05/22, prd-35 ,CLI-1226,259,40967631.8,19846436.84, cc-101 , dist 
90018773,2021-06-09,PRD-23,CLI-1678,63,261591.56,120930.97,CC-101,DIST
90007088,08-09-2023,PRD-08,CLI-1612,165,1395644.4,4969362.64,CC-203,FOB
90028967,2024/05/06,PRD-35,CLI-1228,75,12453738.96,5687054.12,CC-202,RETAIL
90027132,18-08-2023,prd-33,CLI-1105,232,9278172.09,3571490.06,cc-202,horeca
90004856,05-01-2025,PRD-05,CLI-1157,32,628106.84,3615248.9,CC-203,FOB
90027737,2021-11-13,PRD-34,CLI-1467,210,3323075.05,1392994.85,CC-101,RETAIL
90001064,27-09-2021,prd-01,CLI-1458,142,736086.47,354201.98,cc-101,horeca
90006709,2021-10-15,PRD-08,CLI-1235,190,381985.87,1386433.3,CC-203,FOB
90026820,09-11-2021,PRD-33,CLI-1832,160,1773178.25,677790.07,CC-202,RETAIL
90002140,27-01-2024,PRD-02,CLI-1354,259,21713151.42,8066542.46,CC-101,HORECA
90015470,03/02/2021,prd-19,CLI-1326,131,1348944.97,519144.91,cc-101,dist
90019515,2021/06/24,PRD-24,CLI-1779,216,1744400.11,670783.98,CC-101,DIST
90026178,05/12/2023,PRD-32,CLI-1110,33,2298438.05,896729.27,CC-101,RETAIL
90004197,2021-02-24,PRD-05,CLI-1162,187,2930398.28,1150202.35,CC-202,DIST
90014455,2023/09/16,prd-17,CLI-1553,181,7461619.16,2939871.18,cc-202,retail
90008860,19-03-2022,PRD-10,CLI-1695,249,3105585.99,1286731.08,CC-101,RETAIL
90014042,07/11/2025,prd-16,CLI-1214,48,4362949.66,2157636.71,cc-101,horeca
90027354,16/10/2024,PRD-33,CLI-1091,242,34908583.61,13597792.51,CC-202,DIST
90029816,18-11-2023,PRD-36,CLI-1593,85,6064560.95,2692255.7,CC-101,RETAIL
90021754,08/07/2025,PRD-26,CLI-1996,133,1096993.12,6792971.25,CC-203,FOB
90028262,16/08/2025,PRD-34 ,CLI-1386,258,59929068.69,30125009.56,CC-101 ,RETAIL 
90019969,2023-08-11,PRD-24,CLI-1807,218,7625157.32,2827777.4,CC-202,HORECA
90021377,2022-07-17,PRD-26,CLI-1719,193,225330.93,941043.69,CC-203,FOB
90010270,16/06/2025,PRD-11 ,CLI-1586,36,13080058.63,3925937.37,CC-101 ,RETAIL 
90004244,06-06-2021,PRD-05,CLI-1153,167,3236747.21,1207190.27,CC-101,HORECA
90016055,2025/10/10,PRD-19 ,CLI-1967,109,1297157.08,9305915.4,CC-203 ,FOB 
90009252,17-04-2024,PRD-10,CLI-1547,64,7200160.02,2782895.24,CC-202,DIST
90018027,2021/08/14,PRD-22,CLI-1524,110,76016.65,371346.08,CC-203,FOB
90005330,02/12/2022,PRD-06 ,CLI-1345,168,2015467.91,992124.49,CC-202 ,RETAIL 
90023846,10/10/2021,PRD-30,CLI-1992,37,336365.78,131151.1,CC-202,RETAIL
90015239,2024/05/12,prd-18,CLI-1479,38,2950624.2,1461223.45,cc-202,dist
90009708,27-12-2021,PRD-11,CLI-1054,49,1058220.92,347544.72,CC-101,DIST
90023984,03-06-2022,PRD-30,CLI-1139,146,1852965.42,738773.88,CC-101,DIST
90018728,21-03-2021,PRD-23,CLI-1524,145,575197.33,259814.65,CC-101,RETAIL
90007534,20/12/2025,PRD-08,CLI-1270,123,4642749.41,16768246.88,CC-203,FOB
90027410,03/12/2024,PRD-33,CLI-1440,231,34529409.2,13520877.45,CC-101,RETAIL
90029170,13/05/2025,PRD-35,CLI-1222,194,45230873.51,21432993.62,CC-202,HORECA
90020569,2021-09-20,PRD-25,CLI-1138,178,730833.65,361056.18,CC-202,RETAIL
90002370,01/01/2025,PRD-02,CLI-1111,197,29979844.25,11653287.58,CC-202,RETAIL
90021850,06/04/2021,PRD-27,CLI-1454,174,971835.68,457681.08,CC-101,RETAIL
90002467,2025/07/18,PRD-02,CLI-1819,112,20490698.48,7486373.42,CC-101,RETAIL
90023258,17/05/2023,PRD-29,CLI-1304,246,3456132.19,1694548.39,CC-101,RETAIL
90028301,2025-11-01,prd-34,CLI-1543,157,39425330.0,18403953.94,cc-202,dist
90019936,05-06-2023,prd-24,CLI-1726,144,4057005.07,1558215.67,cc-202,retail
90024800,09-10-2021,PRD-31,CLI-1970,177,1860445.47,767779.4,CC-101,DIST
90020063,2023/12/11,PRD-24,CLI-1816,210,11435078.29,4693784.79,CC-101,DIST
90007031,2023/06/13,PRD-08,CLI-1044,166,907147.12,3742073.95,CC-203,FOB
90001878,05/10/2022,PRD-02,CLI-1963,224,4323037.87,1668781.47,CC-101,RETAIL
90005446,17/07/2023,prd-06,CLI-1299,113,2196613.94,1052639.84,cc-101,dist
90023157,2022-09-01,PRD-29,CLI-1623,235,147483.29,940829.79,CC-203,FOB
90007604,11-05-2021,PRD-09,CLI-1546,74,355127.21,172949.97,CC-202,RETAIL
90017153,2022-03-07,PRD-21,CLI-1232,184,105948.8,542853.06,CC-203,FOB
90013031,2021/09/11,PRD-15,CLI-1950,257,214570.02,990648.21,CC-203,FOB
90024382,24/08/2024,PRD-30,CLI-1593,27,2948093.37,1241193.48,CC-101,HORECA
90013621,2021-11-04,PRD-16,CLI-1065,139,749369.11,368736.11,CC-202,RETAIL
90001844,04-08-2022,PRD-02,CLI-1838,170,2907613.02,1181439.7,CC-202,RETAIL
90011259,2022/03/03,PRD-13,CLI-1613,199,151846.16,822945.44,CC-203,FOB
90016151,2021/06/15,PRD-20,CLI-1907,128,290192.95,964923.19,CC-203,FOB
90023208,22-12-2022,PRD-29,CLI-1955,104,1092484.81,507692.32,CC-101,HORECA
90019062,27/07/2023,PRD-23,CLI-1126,259,4025147.46,1912567.67,CC-101,RETAIL
90027524,14-07-2025,prd-33,CLI-1386,46,8275955.07,3169181.02,cc-202,dist
90018030,10/08/2021,PRD-22,CLI-1691,190,1513745.62,657563.8,CC-101,HORECA
90001984,07-05-2023,PRD-02,CLI-1608,110,266436.53,1336430.32,CC-203,FOB
90026645,2021-01-02,PRD-33,CLI-1299,168,116531.19,519871.32,CC-203,FOB
90007010,17/05/2023,PRD-08,CLI-1391,116,7513999.29,2536205.19,CC-202,RETAIL
90014873,2021-10-05,PRD-18,CLI-1053,124,859361.39,381141.05,CC-101,HORECA
90006744,02-11-2021,PRD-08,CLI-1423,78,136604.51,571771.5,CC-203,FOB
90005524,18-12-2023,PRD-06,CLI-1254,178,6931487.29,3107980.75,CC-202,RETAIL
90022861,2025-11-16,PRD-28,CLI-1928,150,34479035.76,12985999.09,CC-101,HORECA
90028816,09-08-2023,PRD-35,CLI-1731,84,4939648.57,2055809.04,CC-101,RETAIL
90012205,2022-01-10,PRD-14,CLI-1633,23,134269.14,66383.59,CC-101,HORECA
90003996,08-11-2024,PRD-04,CLI-1542,43,6186935.43,3054923.28,CC-202,RETAIL
90021020,02-10-2024,PRD-25,CLI-1659,76,4197147.04,2029929.21,CC-101,RETAIL
90007375,2025/03/07,PRD-08,CLI-1070,135,46497221.93,14980613.15,CC-101,DIST
90015439,2025/11/04,PRD-18,CLI-1506,244,28785970.3,14287844.09,CC-202,HORECA
90001755,2022/02/17,PRD-02 ,CLI-1168,169,153302.2,780153.5,CC-203 ,FOB 
90020283,2025/02/26,PRD-24,CLI-1996,147,1143917.78,7658018.29,CC-203,FOB
90008753,2021-06-03,PRD-10,CLI-1737,103,92453.0,353959.04,CC-203,FOB
90001414,20/10/2024,prd-01,CLI-1431,110,7604707.46,3919858.33,cc-101,retail
90004488,13-10-2022, prd-05 ,CLI-1877,233,8952928.0,3614184.74, cc-202 , retail 
90006152,05-08-2022,PRD-07,CLI-1224,66,61355.6,484481.73,CC-203,FOB
90005373,2023-03-22,PRD-06,CLI-1502,205,3047223.88,1419838.65,CC-101,HORECA
90013748,17-03-2023,prd-16,CLI-1760,212,131330.04,1377147.47,cc-203,fob
90022336,26-09-2025,PRD-27,CLI-1836,96,9508741.2,5178794.07,CC-202,HORECA
90023830,21/08/2021,PRD-30,CLI-1984,30,253955.44,100495.28,CC-101,RETAIL
90027677,2021-08-23,PRD-34 ,CLI-1411,238,3207164.31,1476818.69,CC-101 ,DIST 
90023229,2023-03-18,PRD-29,CLI-1126,43,560934.49,253694.47,CC-202,HORECA
90014584,23-08-2024,PRD-17,CLI-1330,69,8668506.33,3477979.02,CC-101,HORECA
90002228,12-06-2024,PRD-02,CLI-1026,194,23312829.88,9114338.98,CC-101,RETAIL
90016700,22-07-2024,PRD-20,CLI-1008,165,3952608.52,17073289.3,CC-203,FOB
90010241,2025-03-19, prd-11 ,CLI-1952,186,4330057.71,19805842.77, cc-203 , fob 
90010671,2023/08/02,PRD-12,CLI-1143,187,3126430.47,1479652.49,CC-101,HORECA
90020180,05-07-2024,PRD-24,CLI-1221,159,1054071.69,6632731.31,CC-203,FOB
90026768,22-08-2021,prd-33,CLI-1603,149,1569083.32,564956.95,cc-101,horeca
90019871,2023/02/26,PRD-24,CLI-1693,77,109782.25,637614.73,CC-203,FOB
90028109,2024-08-16,PRD-34,CLI-1465,104,19478110.15,8475122.36,CC-101,DIST
90016628,15-02-2024,PRD-20,CLI-1238,96,23434298.03,7169849.6,CC-202,RETAIL
90011066,14/05/2021, prd-13 ,CLI-1759,166,1148487.66,473287.45, cc-101 , retail 
90015847,2024/03/04,PRD-19 ,CLI-1088,180,23362531.88,8700189.67,CC-101 ,DIST 
90023121,2022-07-15,prd-29,CLI-1524,97,737710.86,346905.36,cc-202,retail
90009277,2024-05-23,PRD-10,CLI-1498,33,197427.7,1490277.29,CC-203,FOB
90027119,2023/07/17,PRD-33,CLI-1830,186,329096.23,2584738.2,CC-203,FOB
90002312,22-10-2024,PRD-02,CLI-1149,255,36095193.91,13747909.62,CC-202,RETAIL
90029470,21/12/2021,prd-36,CLI-1174,55,805561.42,349071.03,cc-202,retail
90010387,2021/04/26,PRD-12 ,CLI-1314,128,492393.39,226677.93,CC-202 ,RETAIL 
90005278,20/09/2022,prd-06,CLI-1940,56,566849.84,274233.7,cc-101,retail
90014484,17-12-2023,PRD-17,CLI-1061,94,6258040.65,2450950.09,CC-202,DIST
90010204,22-01-2025,PRD-11,CLI-1416,155,48937413.87,15621060.61,CC-101,RETAIL
90022748,16-10-2024, prd-28 ,CLI-1473,172,29425618.58,11162090.05, cc-202 , dist 
90014631,2025/01/14,PRD-17,CLI-1843,153,22214602.52,8428945.31,CC-101,DIST
90029971,2024/09/19,PRD-36,CLI-1813,83,14222241.98,6579882.2,CC-101,RETAIL
90013399,2024/11/23,PRD-15,CLI-1283,132,1301017.35,7337469.41,CC-203,FOB
90021074,12/02/2025,PRD-25,CLI-1167,109,7073789.99,3232923.24,CC-202,RETAIL
90013421,2025-02-03,PRD-15,CLI-1484,105,16295818.48,6224954.2,CC-202,RETAIL
90024052,27-10-2022,prd-30,CLI-1217,112,145295.82,748406.03,cc-203,fob
90023411,2024/04/09,PRD-29,CLI-1266,219,755389.16,5353554.11,CC-203,FOB
90016546,12/08/2023,PRD-20,CLI-1033,135,644262.92,4271287.36,CC-203,FOB
90001992,10-05-2023,PRD-02,CLI-1321,76,2234142.19,921318.9,CC-101,HORECA
90019956,21-07-2023,PRD-24,CLI-1738,252,7508750.22,2879333.12,CC-101,RETAIL
90018551,2024/12/13,PRD-22 ,CLI-1270,245,31669889.33,12793811.98,CC-101 ,DIST 
90029413,2021-09-08,PRD-36,CLI-1945,166,2256286.41,971436.08,CC-101,DIST
90028187,2025/01/05,PRD-34,CLI-1728,151,30995702.72,14504631.18,CC-101,HORECA
90030023,2024/12/18,prd-36,CLI-1088,108,18180300.19,9450560.89,cc-101,retail
90024749,2021-08-18,PRD-31,CLI-1591,201,1965665.06,787342.27,CC-101,RETAIL
90019399,2025/11/01,PRD-23,CLI-1856,188,15400061.0,7481527.63,CC-202,HORECA
90009768,12-05-2022, prd-11 ,CLI-1127,35,1005618.13,335407.69, cc-202 , dist 
90016425,2022-11-06,PRD-20,CLI-1927,214,629030.26,3599885.6,CC-203,FOB
90010057,2024-01-02,PRD-11,CLI-1909,122,1473068.46,6506643.22,CC-203,FOB
90021703,2025/02/08, prd-26 ,CLI-1561,248,32500309.4,11997298.71, cc-202 , horeca 
90013476,03-08-2025,PRD-15,CLI-1169,65,11210663.99,4486803.37,CC-101,DIST
90022919,2021/04/01,PRD-29 ,CLI-1844,217,917508.16,429668.07,CC-101 ,RETAIL 
90002147,2024/01/19,PRD-02,CLI-1846,27,2223922.69,850889.32,CC-101,DIST
90003526,17/07/2021,PRD-04,CLI-1634,211,2223697.54,998882.44,CC-101,HORECA
90023399,2024/03/14,PRD-29,CLI-1734,196,9444913.71,4444979.15,CC-202,RETAIL
90014495,2023/12/22,PRD-17 ,CLI-1729,112,6694574.7,2935455.18,CC-202 ,RETAIL 
90009555,2021/03/11,prd-11,CLI-1658,104,140772.61,581805.65,cc-203,fob
90027593,2025-12-20,PRD-33,CLI-1025,143,29005785.49,11100740.3,CC-101,HORECA
90013479,2025/08/12,PRD-15,CLI-1511,176,1599407.68,11910604.68,CC-203,FOB
90024049,2022-10-10,PRD-30,CLI-1161,215,309808.92,1392781.02,CC-203,FOB
90017449,2023-08-07,PRD-21,CLI-1745,235,4186501.71,2057997.14,CC-202,DIST
90022719,2024/07/12,PRD-28,CLI-1121,220,32212889.62,12850217.67,CC-202,RETAIL
90016092,18-01-2021,PRD-20,CLI-1882,227,4206104.22,1407260.55,CC-101,HORECA
90029491,2022/02/02, prd-36 ,CLI-1558,102,1643160.09,706660.84, cc-202 , retail 
90022491,2022/05/17,prd-28,CLI-1275,69,66344.27,473900.54,cc-203,fob
90007773,2021-12-15,PRD-09,CLI-1603,240,115527.15,671661.13,CC-203,FOB
90010388,11-04-2021,prd-12,CLI-1851,174,625569.19,305753.81,cc-101,retail
90028265,2025-08-19,PRD-34,CLI-1680,205,47677765.19,22993037.2,CC-202,HORECA
90007082,09/09/2023,PRD-08,CLI-1801,231,22455184.85,7025565.91,CC-101,DIST
90015070,08/01/2023, prd-18 ,CLI-1597,48,749590.3,352067.04, cc-101 , horeca 
90024012,05-08-2022,PRD-30,CLI-1680,61,68723.9,362615.6,CC-203,FOB
90018079,2021/11/22,PRD-22,CLI-1460,82,787494.49,321513.16,CC-202,RETAIL
90029822,19/11/2023,PRD-36 ,CLI-1701,118,7753298.2,3658930.74,CC-101 ,RETAIL 
90011186,08/11/2021,prd-13,CLI-1613,84,747651.16,283563.07,cc-202,retail
90015746,07/05/2023,PRD-19,CLI-1728,251,481034.62,3772718.49,CC-203,FOB
90004683,2023/12/22,prd-05,CLI-1128,246,32451484.13,12887870.83,cc-202,horeca
90009929,2023-05-01,PRD-11,CLI-1426,212,13023396.32,4325170.74,CC-202,HORECA
90002695,2021/09/18, prd-03 ,CLI-1598,190,3611166.05,1260668.08, cc-101 , retail 
90019702,04/04/2022,PRD-24,CLI-1285,91,1035718.34,423035.57,CC-101,RETAIL
90006200,03-11-2022,PRD-07,CLI-1956,220,218125.41,1878146.94,CC-203,FOB
90022904,23-02-2021,prd-29,CLI-1395,75,273152.32,126714.97,cc-101,dist
90013911,2024/07/02,PRD-16,CLI-1822,206,12839625.6,6392066.29,CC-202,HORECA
90011850,02/03/2025,PRD-13,CLI-1723,205,1589096.02,10449322.49,CC-203,FOB
90028274,23/09/2025,PRD-34,CLI-1077,86,20438439.88,9607430.38,CC-101,RETAIL
90025186,02/01/2024,prd-31,CLI-1323,92,7929980.84,3039700.77,cc-101,horeca
90003141,2023-12-14,PRD-03,CLI-1510,245,33268661.54,10410983.03,CC-202,RETAIL
90010690,14/10/2023,PRD-12,CLI-1216,90,1827128.9,847024.99,CC-202,RETAIL
90003507,2021/05/03,prd-04,CLI-1320,108,1072250.84,485489.05,cc-202,retail
90023546,24/12/2024,PRD-29,CLI-1986,62,4095590.36,2012660.59,CC-101,RETAIL
90008593,2025-08-06,PRD-09 ,CLI-1435,85,7558697.03,3775409.84,CC-101 ,HORECA 
90005943,2025/12/07,prd-06,CLI-1350,226,23047712.25,11808486.93,cc-101,retail
90002720,25-10-2021,PRD-03,CLI-1724,60,1208394.44,396868.32,CC-101,HORECA
90008688,09-01-2021,PRD-10,CLI-1075,28,223191.22,83739.7,CC-202,RETAIL
90016515,2023/07/24,PRD-20,CLI-1849,100,8382470.15,2922838.74,CC-202,HORECA
90025945,2022-12-21,PRD-32,CLI-1344,236,5246563.5,1988313.16,CC-101,RETAIL
90009769,2022-05-10,PRD-11,CLI-1542,30,85938.11,281975.26,CC-203,FOB
90017904,14-11-2025,PRD-21,CLI-1677,259,21773190.31,11119172.53,CC-101,DIST
90029285,2025-11-10,PRD-35,CLI-1097,119,28401850.46,14024309.06,CC-101,HORECA
90007515,2025/11/14,PRD-08,CLI-1649,27,10563072.83,3531031.82,CC-101,HORECA
90007589,2021-04-24,PRD-09,CLI-1200,66,289482.16,147296.22,CC-202,RETAIL
90013655,2022/05/03,PRD-16,CLI-1012,129,977573.39,461718.3,CC-101,RETAIL
90022964,03-08-2021,PRD-29,CLI-1700,20,7391.01,44028.4,CC-203,FOB
90022811,2025/07/14,PRD-28,CLI-1765,57,11717107.22,4686864.81,CC-101,DIST
90019168,17-05-2024,PRD-23,CLI-1134,235,11590284.94,5965627.59,CC-202,HORECA
90019100,19-10-2023,PRD-23,CLI-1246,112,2450225.03,1148208.43,CC-101,RETAIL
90029788,11-09-2023, prd-36 ,CLI-1377,84,4649667.33,2114672.04, cc-202 , horeca 
90013687,2022/08/02,PRD-16,CLI-1521,241,2143436.16,1012319.94,CC-101,RETAIL
90018007,2021/06/08, prd-22 ,CLI-1361,252,175779.95,812299.09, cc-203 , fob 
90006831,2022/05/06, prd-08 ,CLI-1176,123,336665.24,1250272.99, cc-203 , fob 
90009997,2023-09-23,PRD-11 ,CLI-1652,248,1712096.79,7506972.21,CC-203 ,FOB 
90027346,06/09/2024, prd-33 ,CLI-1178,48,455735.31,2564380.57, cc-203 , fob 
90002764,23-01-2022,PRD-03,CLI-1992,131,244757.39,977805.3,CC-203,FOB
90028642,18/11/2022,PRD-35,CLI-1710,63,1796382.03,841795.63,CC-101,RETAIL
90013681,2022-08-27,PRD-16,CLI-1331,178,88735.7,731109.9,CC-203,FOB
