RemitoID,DateKey,Fecha,CentroCostoID,VariedadUva,FincaOrigen,KilosEntrada,GradosBrix,LitrosMostoObtenido,RendimientoExtraccionPct,CalificacionSanitaria,UbicacionGeografica,Latitud,Longitud
REM-2025-00021,20250206,2025-02-06,CC-102,Chardonnay,Finca Barrancas,16801.0,23.4,11522.5,0.6858,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00022,20250206,2025-02-06,CC-101,Chardonnay,Finca Agrelo,21922.0,24.9,15992.1,0.7295,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00023,20250206,2025-02-06,CC-101,Bonarda,Finca Barrancas,10519.0,24.4,7647.9,0.7271,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00024,20250207,2025-02-07,CC-101,Bonarda,Finca Gualtallary,10462.0,24.6,7155.6,0.684,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00025,20250207,2025-02-07,CC-101,Syrah,Finca Gualtallary,12367.0,26.4,8900.6,0.7197,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00026,20250207,2025-02-07,CC-102,Malbec,Finca Barrancas,13816.0,25.1,9987.9,0.7229,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00027,20250207,2025-02-07,CC-102,Malbec,Finca Barrancas,10676.0,23.9,7686.9,0.72,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00028,20250208,2025-02-08,CC-102,Syrah,Finca Barrancas,15519.0,22.5,10683.0,0.6884,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00029,20250208,2025-02-08,CC-101,Chardonnay,Finca Agrelo,14434.0,24.3,10212.9,0.7076,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00030,20250208,2025-02-08,CC-102,Cabernet Franc,Finca Altamira,9711.0,25.4,6895.4,0.7101,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00031,20250208,2025-02-08,CC-102,Malbec,Finca Barrancas,21736.0,25.9,15924.4,0.7326,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00032,20250209,2025-02-09,CC-102,Chardonnay,Finca Agrelo,11191.0,24.7,7739.1,0.6915,Optima,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00033,20250209,2025-02-09,CC-102,Chardonnay,Finca Barrancas,18021.0,25.0,12281.3,0.6815,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00034,20250209,2025-02-09,CC-101,Bonarda,Finca Agrelo,21748.0,24.6,15579.1,0.7163,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00035,20250209,2025-02-09,CC-101,Syrah,Finca Gualtallary,18441.0,24.6,13184.4,0.715,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00036,20250210,2025-02-10,CC-102,Syrah,Finca Barrancas,14368.0,24.8,9931.1,0.6912,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00037,20250210,2025-02-10,CC-101,Cabernet Franc,Finca Barrancas,14599.0,24.1,10757.5,0.7369,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00038,20250210,2025-02-10,CC-102,Cabernet Franc,Finca Gualtallary,22889.0,24.6,15714.9,0.6866,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00039,20250210,2025-02-10,CC-102,Syrah,Finca Barrancas,20385.0,26.5,14523.9,0.7125,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00040,20250211,2025-02-11,CC-101,Bonarda,Finca Altamira,10762.0,26.5,7942.3,0.738,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00041,20250211,2025-02-11,CC-101,Syrah,Finca Agrelo,9724.0,25.0,6951.2,0.7148,Optima,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00042,20250211,2025-02-11,CC-102,Bonarda,Finca Altamira,9482.0,25.2,6564.9,0.6924,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00043,20250211,2025-02-11,CC-102,Cabernet Franc,Finca Gualtallary,20043.0,23.0,13785.4,0.6878,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00044,20250212,2025-02-12,CC-102,Chardonnay,Finca Gualtallary,18868.0,25.0,12917.9,0.6846,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00045,20250212,2025-02-12,CC-102,Cabernet Franc,Finca Barrancas,20742.0,23.9,14513.5,0.6997,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00046,20250212,2025-02-12,CC-102,Malbec,Finca Altamira,18515.0,25.0,13458.3,0.7269,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00047,20250212,2025-02-12,CC-102,Syrah,Finca Agrelo,22368.0,22.7,16213.5,0.7249,Optima,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00048,20250213,2025-02-13,CC-101,Cabernet Franc,Finca Barrancas,13240.0,23.7,9018.4,0.6811,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00049,20250213,2025-02-13,CC-102,Cabernet Franc,Finca Gualtallary,14986.0,22.6,11048.2,0.7372,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00050,20250213,2025-02-13,CC-102,Chardonnay,Finca Agrelo,19850.0,25.7,14420.5,0.7265,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00051,20250213,2025-02-13,CC-101,Cabernet Franc,Finca Agrelo,14354.0,25.0,9802.1,0.6829,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00052,20250214,2025-02-14,CC-101,Cabernet Franc,Finca Altamira,10396.0,22.6,7643.9,0.7353,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00053,20250214,2025-02-14,CC-101,Chardonnay,Finca Barrancas,8972.0,23.4,6213.0,0.6925,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00054,20250214,2025-02-14,CC-102,Cabernet Franc,Finca Gualtallary,11642.0,23.5,8541.8,0.7337,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00055,20250214,2025-02-14,CC-101,Cabernet Franc,Finca Altamira,8486.0,23.9,6194.5,0.73,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00056,20250215,2025-02-15,CC-101,Bonarda,Finca Altamira,19831.0,26.1,14589.3,0.7357,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00057,20250215,2025-02-15,CC-102,Malbec,Finca Barrancas,11343.0,23.7,7913.9,0.6977,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00058,20250215,2025-02-15,CC-102,Malbec,Finca Altamira,19016.0,24.8,13218.8,0.6951,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00059,20250215,2025-02-15,CC-102,Bonarda,Finca Agrelo,20492.0,26.0,14176.4,0.6918,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00060,20250216,2025-02-16,CC-101,Cabernet Franc,Finca Barrancas,9175.0,25.0,6361.8,0.6934,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00061,20250216,2025-02-16,CC-102,Bonarda,Finca Gualtallary,20018.0,25.2,13840.7,0.6914,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00062,20250216,2025-02-16,CC-102,Malbec,Finca Gualtallary,9253.0,22.8,6746.3,0.7291,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00063,20250216,2025-02-16,CC-102,Cabernet Franc,Finca Agrelo,10043.0,24.8,7139.4,0.7109,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00064,20250217,2025-02-17,CC-102,Malbec,Finca Gualtallary,11042.0,22.9,7789.1,0.7054,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00065,20250217,2025-02-17,CC-102,Bonarda,Finca Gualtallary,13181.0,25.4,9627.4,0.7304,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00066,20250217,2025-02-17,CC-102,Syrah,Finca Altamira,21968.0,22.8,15250.4,0.6942,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00067,20250217,2025-02-17,CC-101,Chardonnay,Finca Barrancas,15152.0,23.0,10636.0,0.702,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00068,20250218,2025-02-18,CC-102,Bonarda,Finca Gualtallary,11069.0,23.4,7563.2,0.6833,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00069,20250218,2025-02-18,CC-102,Syrah,Finca Barrancas,9496.0,22.9,6555.4,0.6903,Aceptable,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00070,20250218,2025-02-18,CC-102,Cabernet Franc,Finca Barrancas,21861.0,24.8,15957.3,0.7299,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00071,20250218,2025-02-18,CC-102,Chardonnay,Finca Gualtallary,13485.0,23.2,9729.5,0.7215,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00072,20250219,2025-02-19,CC-102,Malbec,Finca Barrancas,7280.0,26.4,5380.9,0.7391,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00073,20250219,2025-02-19,CC-101,Malbec,Finca Altamira,19133.0,23.5,13927.2,0.7279,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00074,20250219,2025-02-19,CC-102,Chardonnay,Finca Gualtallary,8496.0,25.9,6193.8,0.729,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00075,20250219,2025-02-19,CC-101,Bonarda,Finca Gualtallary,15368.0,24.5,10651.0,0.6931,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00076,20250220,2025-02-20,CC-101,Syrah,Finca Agrelo,13241.0,24.8,9082.0,0.6859,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00077,20250220,2025-02-20,CC-101,Chardonnay,Finca Barrancas,18399.0,26.3,12775.5,0.6944,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00078,20250220,2025-02-20,CC-101,Chardonnay,Finca Agrelo,18720.0,24.4,13713.2,0.7325,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00079,20250220,2025-02-20,CC-102,Syrah,Finca Gualtallary,16735.0,23.9,11696.8,0.6989,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00080,20250221,2025-02-21,CC-102,Syrah,Finca Agrelo,8477.0,25.2,5916.7,0.698,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00081,20250221,2025-02-21,CC-101,Bonarda,Finca Gualtallary,21577.0,22.9,15835.1,0.7339,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00082,20250221,2025-02-21,CC-102,Bonarda,Finca Gualtallary,8781.0,26.4,6428.7,0.7321,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00083,20250221,2025-02-21,CC-101,Cabernet Franc,Finca Agrelo,22842.0,22.7,16326.9,0.7148,Optima,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00084,20250222,2025-02-22,CC-102,Chardonnay,Finca Gualtallary,17130.0,22.5,12476.3,0.7283,Aceptable,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00085,20250222,2025-02-22,CC-102,Chardonnay,Finca Gualtallary,15897.0,24.2,11457.5,0.7207,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00086,20250222,2025-02-22,CC-102,Chardonnay,Finca Altamira,10556.0,24.5,7681.7,0.7277,Aceptable,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00087,20250222,2025-02-22,CC-101,Chardonnay,Finca Gualtallary,22966.0,23.9,15702.0,0.6837,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00088,20250223,2025-02-23,CC-102,Bonarda,Finca Agrelo,16878.0,22.9,11752.2,0.6963,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00089,20250223,2025-02-23,CC-102,Bonarda,Finca Agrelo,11825.0,23.5,8106.6,0.6855,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00090,20250223,2025-02-23,CC-102,Malbec,Finca Gualtallary,22612.0,24.2,16074.3,0.7109,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00091,20250223,2025-02-23,CC-101,Chardonnay,Finca Altamira,20790.0,26.1,14309.0,0.6883,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00092,20250224,2025-02-24,CC-101,Cabernet Franc,Finca Altamira,9054.0,22.6,6234.7,0.6886,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00093,20250224,2025-02-24,CC-101,Cabernet Franc,Finca Barrancas,15740.0,25.4,11446.0,0.7272,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00094,20250224,2025-02-24,CC-101,Bonarda,Finca Barrancas,19614.0,23.7,13906.1,0.709,Aceptable,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00095,20250224,2025-02-24,CC-102,Chardonnay,Finca Altamira,8270.0,24.9,6111.7,0.739,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00096,20250225,2025-02-25,CC-102,Syrah,Finca Agrelo,11446.0,25.5,8126.7,0.71,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00097,20250225,2025-02-25,CC-101,Cabernet Franc,Finca Gualtallary,10313.0,24.8,7198.4,0.698,Aceptable,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00098,20250225,2025-02-25,CC-101,Cabernet Franc,Finca Altamira,17657.0,25.0,12916.7,0.7315,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00099,20250225,2025-02-25,CC-102,Bonarda,Finca Gualtallary,14507.0,24.1,10640.3,0.7335,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00100,20250226,2025-02-26,CC-102,Malbec,Finca Barrancas,18923.0,25.4,13150.1,0.6949,Aceptable,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00101,20250226,2025-02-26,CC-102,Chardonnay,Finca Barrancas,20960.0,23.1,14370.5,0.6856,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00102,20250226,2025-02-26,CC-101,Malbec,Finca Gualtallary,15122.0,26.0,10497.5,0.6942,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00103,20250226,2025-02-26,CC-102,Syrah,Finca Agrelo,13207.0,25.4,9234.3,0.6992,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00104,20250227,2025-02-27,CC-101,Chardonnay,Finca Altamira,17846.0,23.2,13162.9,0.7376,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00105,20250227,2025-02-27,CC-102,Syrah,Finca Agrelo,13078.0,24.1,9491.2,0.7257,Optima,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00106,20250227,2025-02-27,CC-102,Cabernet Franc,Finca Barrancas,12165.0,22.5,8286.8,0.6812,Optima,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00107,20250227,2025-02-27,CC-102,Bonarda,Finca Agrelo,9999.0,24.3,7110.1,0.7111,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00108,20250228,2025-02-28,CC-102,Syrah,Finca Agrelo,14365.0,24.2,10387.1,0.7231,Optima,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00109,20250228,2025-02-28,CC-102,Syrah,Finca Agrelo,17918.0,25.4,12434.8,0.694,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00110,20250228,2025-02-28,CC-101,Cabernet Franc,Finca Barrancas,14363.0,23.9,10146.2,0.7064,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00111,20250228,2025-02-28,CC-101,Chardonnay,Finca Gualtallary,18795.0,24.9,13613.9,0.7243,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00112,20250301,2025-03-01,CC-101,Cabernet Franc,Finca Altamira,18955.0,24.7,12949.6,0.6832,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00113,20250301,2025-03-01,CC-102,Cabernet Franc,Finca Altamira,20528.0,22.7,15082.0,0.7347,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00114,20250301,2025-03-01,CC-102,Malbec,Finca Altamira,19382.0,24.5,13693.2,0.7065,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00115,20250301,2025-03-01,CC-101,Syrah,Finca Agrelo,8283.0,23.7,6064.3,0.7321,Optima,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00116,20250302,2025-03-02,CC-101,Malbec,Finca Gualtallary,10572.0,25.4,7560.8,0.7152,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00117,20250302,2025-03-02,CC-102,Malbec,Finca Gualtallary,10108.0,23.3,7154.8,0.7078,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00118,20250302,2025-03-02,CC-102,Malbec,Finca Altamira,11140.0,25.8,7884.8,0.7078,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00119,20250302,2025-03-02,CC-101,Chardonnay,Finca Altamira,9886.0,25.0,7044.5,0.7126,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00120,20250303,2025-03-03,CC-101,Cabernet Franc,Finca Altamira,14839.0,24.0,10178.8,0.6859,Aceptable,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00121,20250303,2025-03-03,CC-102,Malbec,Finca Barrancas,20168.0,24.3,14655.7,0.7267,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00122,20250303,2025-03-03,CC-101,Malbec,Finca Barrancas,8706.0,23.2,6132.3,0.7044,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00123,20250303,2025-03-03,CC-101,Chardonnay,Finca Gualtallary,22843.0,25.3,16107.4,0.7051,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00124,20250304,2025-03-04,CC-101,Cabernet Franc,Finca Altamira,20851.0,22.8,15410.4,0.7391,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00125,20250304,2025-03-04,CC-101,Cabernet Franc,Finca Altamira,18271.0,23.6,13066.5,0.7151,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00126,20250304,2025-03-04,CC-102,Cabernet Franc,Finca Altamira,11756.0,23.7,8672.8,0.7377,Buena,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00127,20250304,2025-03-04,CC-101,Cabernet Franc,Finca Gualtallary,20424.0,23.7,14476.1,0.7088,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00128,20250305,2025-03-05,CC-101,Bonarda,Finca Agrelo,12626.0,24.2,8661.8,0.686,Aceptable,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00129,20250305,2025-03-05,CC-102,Syrah,Finca Gualtallary,20407.0,22.6,14375.0,0.7044,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00130,20250305,2025-03-05,CC-102,Malbec,Finca Gualtallary,11741.0,25.4,8466.2,0.7211,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00131,20250305,2025-03-05,CC-101,Cabernet Franc,Finca Agrelo,23457.0,23.5,16346.6,0.6969,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00132,20250306,2025-03-06,CC-102,Syrah,Finca Altamira,18669.0,23.4,12716.9,0.6812,Optima,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00133,20250306,2025-03-06,CC-102,Cabernet Franc,Finca Barrancas,18842.0,25.3,13151.1,0.698,Buena,"Barrancas, Maipú, Mendoza, Argentina",-33.056,-68.705
REM-2025-00134,20250306,2025-03-06,CC-102,Syrah,Finca Agrelo,12497.0,26.5,9141.4,0.7315,Buena,"Agrelo, Luján de Cuyo, Mendoza, Argentina",-33.125,-68.895
REM-2025-00135,20250306,2025-03-06,CC-101,Bonarda,Finca Gualtallary,15835.0,23.1,11518.5,0.7274,Buena,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00136,20250307,2025-03-07,CC-101,Cabernet Franc,Finca Gualtallary,8555.0,26.1,6137.6,0.7174,Optima,"Gualtallary, Tupungato, Mendoza, Argentina",-33.385,-69.215
REM-2025-00137,20250307,2025-03-07,CC-102,Malbec,Finca Altamira,22700.0,23.0,16585.8,0.7307,Aceptable,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
REM-2025-00138,20250307,2025-03-07,CC-102,Malbec,Finca Altamira,14277.0,24.6,9740.2,0.6822,Aceptable,"Paraje Altamira, San Carlos, Mendoza, Argentina",-33.775,-69.155
