TransaccionID,DateKey,Fecha,ProductoID,CentroCostoID,VolumenReal,PrecioRealUnit,CostoRealUnit,IngresosReales,CostoReal,MargenBrutoReal,CanalVenta
TRX-90027236,20240214,2024-02-14,PRD-33,CC-202,227.0,95240.19,36369.01,21619524.07,8255766.39,13363757.68,Canal Horeca
TRX-90015580,20220218,2022-02-18,PRD-19,CC-202,254.0,14988.6,5914.1,3807104.39,1502180.73,2304923.66,Distribuidor Mayorista
TRX-90007018,20230513,2023-05-13,PRD-08,CC-202,142.0,66523.42,21808.85,9446325.95,3096857.32,6349468.63,Canal Horeca
TRX-90022226,20240922,2024-09-22,PRD-27,CC-202,112.0,81209.45,41009.4,9095458.27,4593053.18,4502405.09,Canal Horeca
TRX-90012001,20251125,2025-11-25,PRD-13,CC-203,167.0,10591.09,59313.37,1768712.2,9905332.55,-8136620.35,Exportacion Directa
TRX-90022671,20240212,2024-02-12,PRD-28,CC-202,97.0,107049.82,44444.8,10383832.61,4311145.25,6072687.36,Canal Horeca
TRX-90016847,20250801,2025-08-01,PRD-20,CC-101,144.0,474547.14,143992.2,68334787.66,20734877.36,47599910.3,Supermercados
TRX-90008799,20211001,2021-10-01,PRD-10,CC-101,68.0,10574.03,4168.37,719034.18,283449.33,435584.85,Supermercados
TRX-90005552,20240211,2024-02-11,PRD-06,CC-202,73.0,52807.95,24774.15,3854980.14,1808512.86,2046467.28,Supermercados
TRX-90017121,20220104,2022-01-04,PRD-21,CC-101,63.0,5332.64,2586.97,335956.24,162979.37,172976.87,Canal Horeca
TRX-90010570,20221025,2022-10-25,PRD-12,CC-101,142.0,8107.35,3969.67,1151243.06,563693.59,587549.47,Distribuidor Mayorista
TRX-90018302,20230322,2023-03-22,PRD-22,CC-202,160.0,23885.85,9080.4,3821735.63,1452863.46,2368872.17,Supermercados
TRX-90016869,20250910,2025-09-10,PRD-20,CC-203,250.0,26965.76,149862.98,6741440.51,37465745.98,-30724305.47,Exportacion Directa
TRX-90001918,20221223,2022-12-23,PRD-02,CC-101,92.0,21567.92,8509.56,1984248.83,782879.44,1201369.39,Canal Horeca
TRX-90016130,20210508,2021-05-08,PRD-20,CC-202,184.0,21594.69,7196.21,3973422.35,1324101.76,2649320.59,Canal Horeca
TRX-90029530,20220508,2022-05-08,PRD-36,CC-101,139.0,18537.01,8302.85,2576644.36,1154096.44,1422547.92,Supermercados
TRX-90016275,20220207,2022-02-07,PRD-20,CC-203,214.0,1881.63,9550.0,402669.11,2043701.03,-1641031.92,Exportacion Directa
TRX-90025651,20210925,2021-09-25,PRD-32,CC-203,258.0,1125.33,3999.87,290335.9,1031965.55,-741629.65,Exportacion Directa
TRX-90010737,20240206,2024-02-06,PRD-12,CC-202,183.0,40305.03,17968.35,7375820.98,3288208.22,4087612.76,Canal Horeca
TRX-90016759,20241103,2024-11-03,PRD-20,CC-202,172.0,374739.65,115983.85,64455219.27,19949222.61,44505996.66,Supermercados
TRX-90006488,20250611,2025-06-11,PRD-07,CC-202,167.0,176072.03,70600.95,29404028.21,11790358.44,17613669.77,Supermercados
TRX-90027299,20240719,2024-07-19,PRD-33,CC-202,131.0,144311.01,50460.6,18904742.24,6610338.66,12294403.58,Canal Horeca
TRX-90015328,20241205,2024-12-05,PRD-18,CC-203,96.0,3509.26,47460.28,336888.68,4556187.3,-4219298.62,Exportacion Directa
TRX-90027266,20240404,2024-04-04,PRD-33,CC-203,219.0,9948.79,45193.77,2178784.11,9897434.56,-7718650.45,Exportacion Directa
TRX-90022171,20240310,2024-03-10,PRD-27,CC-101,169.0,62634.79,29697.49,10585280.12,5018876.37,5566403.75,Supermercados
TRX-90019339,20250727,2025-07-27,PRD-23,CC-203,147.0,5345.49,38146.98,785787.4,5607605.33,-4821817.93,Exportacion Directa
TRX-90009571,20210427,2021-04-27,PRD-11,CC-203,59.0,1866.44,5738.41,110120.02,338566.26,-228446.24,Exportacion Directa
TRX-90025123,20230810,2023-08-10,PRD-31,CC-101,136.0,40882.9,15765.49,5560074.11,2144106.84,3415967.27,Supermercados
TRX-90019357,20250805,2025-08-05,PRD-23,CC-202,142.0,78065.69,37613.05,11085328.51,5341053.66,5744274.85,Canal Horeca
TRX-90011422,20221110,2022-11-10,PRD-13,CC-101,223.0,18256.38,6431.48,4071171.72,1434219.86,2636951.86,Canal Horeca
TRX-90024243,20231109,2023-11-09,PRD-30,CC-202,147.0,44191.61,18548.86,6496166.36,2726683.06,3769483.3,Distribuidor Mayorista
TRX-90020988,20240805,2024-08-05,PRD-25,CC-101,209.0,51190.65,25906.29,10698846.45,5414414.52,5284431.93,Supermercados
TRX-90028519,20220218,2022-02-18,PRD-35,CC-101,63.0,17550.0,7905.88,1105649.71,498070.5,607579.21,Supermercados
TRX-90012283,20220715,2022-07-15,PRD-14,CC-101,149.0,8390.35,4098.07,1250162.58,610613.05,639549.53,Supermercados
TRX-90023656,20250824,2025-08-24,PRD-29,CC-101,97.0,81353.44,38771.22,7891284.02,3760808.07,4130475.95,Canal Horeca
TRX-90028778,20230611,2023-06-11,PRD-35,CC-202,55.0,44307.75,21727.54,2436926.03,1195014.6,1241911.43,Supermercados
TRX-90006600,20210321,2021-03-21,PRD-08,CC-203,220.0,1922.39,5749.69,422925.15,1264932.53,-842007.38,Exportacion Directa
TRX-90005345,20230103,2023-01-03,PRD-06,CC-101,153.0,13080.19,6073.15,2001269.59,929192.71,1072076.88,Distribuidor Mayorista
TRX-90015484,20210418,2021-04-18,PRD-19,CC-202,235.0,10111.54,4267.3,2376211.58,1002815.23,1373396.35,Supermercados
TRX-90003173,20240306,2024-03-06,PRD-03,CC-203,78.0,15496.82,65998.05,1208751.72,5147848.04,-3939096.32,Exportacion Directa
TRX-90018894,20220501,2022-05-01,PRD-23,CC-101,203.0,6213.92,3086.93,1261425.15,626646.14,634779.01,Supermercados
TRX-90022426,20210902,2021-09-02,PRD-28,CC-203,139.0,689.36,4726.06,95821.57,656922.13,-561100.56,Exportacion Directa
TRX-90022717,20240708,2024-07-08,PRD-28,CC-202,189.0,145139.65,58359.42,27431393.53,11029929.57,16401463.96,Distribuidor Mayorista
TRX-90029672,20230124,2023-01-24,PRD-36,CC-202,200.0,29827.57,12955.1,5965513.9,2591019.39,3374494.51,Canal Horeca
TRX-90011031,20210320,2021-03-20,PRD-13,CC-203,190.0,555.81,2663.73,105603.14,506109.05,-400505.91,Exportacion Directa
TRX-90009817,20220816,2022-08-16,PRD-11,CC-101,135.0,36587.94,11164.34,4939371.94,1507186.49,3432185.45,Distribuidor Mayorista
TRX-90012640,20240524,2024-05-24,PRD-14,CC-101,29.0,58888.04,28203.5,1707753.1,817901.4,889851.7,Canal Horeca
TRX-90013160,20221103,2022-11-03,PRD-15,CC-101,32.0,18534.11,8169.59,593091.55,261426.83,331664.72,Distribuidor Mayorista
TRX-90013648,20220415,2022-04-15,PRD-16,CC-202,92.0,7592.66,3268.93,698525.1,300741.62,397783.48,Supermercados
TRX-90014810,20210622,2021-06-22,PRD-18,CC-202,66.0,6516.33,2882.65,430078.05,190254.58,239823.47,Supermercados
TRX-90022928,20210521,2021-05-21,PRD-29,CC-202,165.0,4104.16,1964.17,677186.52,324088.49,353098.03,Distribuidor Mayorista
TRX-90008163,20230805,2023-08-05,PRD-09,CC-202,259.0,19586.23,9714.41,5072834.8,2516030.92,2556803.88,Distribuidor Mayorista
TRX-90010678,20230923,2023-09-23,PRD-12,CC-202,190.0,17745.06,9102.71,3371560.62,1729514.0,1642046.62,Supermercados
TRX-90027452,20250327,2025-03-27,PRD-33,CC-202,165.0,160567.51,61277.98,26493639.65,10110867.5,16382772.15,Distribuidor Mayorista
TRX-90016764,20241212,2024-12-12,PRD-20,CC-101,245.0,366366.73,119469.49,89759849.84,29270026.12,60489823.72,Canal Horeca
TRX-90011336,20220820,2022-08-20,PRD-13,CC-202,31.0,14240.16,5347.26,441445.05,165765.18,275679.87,Supermercados
TRX-90025895,20220925,2022-09-25,PRD-32,CC-101,169.0,18437.13,7504.88,3115874.31,1268324.54,1847549.77,Canal Horeca
TRX-90022354,20251209,2025-12-09,PRD-27,CC-101,94.0,112968.97,58903.91,10619083.23,5536967.75,5082115.48,Supermercados
TRX-90017927,20251213,2025-12-13,PRD-21,CC-101,37.0,88006.48,45435.63,3256239.73,1681118.14,1575121.59,Distribuidor Mayorista
TRX-90028963,20240522,2024-05-22,PRD-35,CC-101,259.0,158176.18,76627.17,40967631.8,19846436.84,21121194.96,Distribuidor Mayorista
TRX-90018773,20210609,2021-06-09,PRD-23,CC-101,63.0,4152.25,1919.54,261591.56,120930.97,140660.59,Distribuidor Mayorista
TRX-90007088,20230908,2023-09-08,PRD-08,CC-203,165.0,8458.45,30117.35,1395644.4,4969362.64,-3573718.24,Exportacion Directa
TRX-90028967,20240506,2024-05-06,PRD-35,CC-202,75.0,166049.85,75827.39,12453738.96,5687054.12,6766684.84,Supermercados
TRX-90027132,20230818,2023-08-18,PRD-33,CC-202,232.0,39992.12,15394.35,9278172.09,3571490.06,5706682.03,Canal Horeca
TRX-90004856,20250105,2025-01-05,PRD-05,CC-203,32.0,19628.34,112976.53,628106.84,3615248.9,-2987142.06,Exportacion Directa
TRX-90027737,20211113,2021-11-13,PRD-34,CC-101,210.0,15824.17,6633.31,3323075.05,1392994.85,1930080.2,Supermercados
TRX-90001064,20210927,2021-09-27,PRD-01,CC-101,142.0,5183.71,2494.38,736086.47,354201.98,381884.49,Canal Horeca
TRX-90006709,20211015,2021-10-15,PRD-08,CC-203,190.0,2010.45,7297.02,381985.87,1386433.3,-1004447.43,Exportacion Directa
TRX-90026820,20211109,2021-11-09,PRD-33,CC-202,160.0,11082.36,4236.19,1773178.25,677790.07,1095388.18,Supermercados
TRX-90002140,20240127,2024-01-27,PRD-02,CC-101,259.0,83834.56,31144.95,21713151.42,8066542.46,13646608.96,Canal Horeca
TRX-90015470,20210203,2021-02-03,PRD-19,CC-101,131.0,10297.29,3962.94,1348944.97,519144.91,829800.06,Distribuidor Mayorista
TRX-90019515,20210624,2021-06-24,PRD-24,CC-101,216.0,8075.93,3105.48,1744400.11,670783.98,1073616.13,Distribuidor Mayorista
TRX-90026178,20231205,2023-12-05,PRD-32,CC-101,33.0,69649.64,27173.61,2298438.05,896729.27,1401708.78,Supermercados
TRX-90004197,20210224,2021-02-24,PRD-05,CC-202,187.0,15670.58,6150.81,2930398.28,1150202.35,1780195.93,Distribuidor Mayorista
TRX-90014455,20230916,2023-09-16,PRD-17,CC-202,181.0,41224.42,16242.38,7461619.16,2939871.18,4521747.98,Supermercados
TRX-90008860,20220319,2022-03-19,PRD-10,CC-101,249.0,12472.23,5167.59,3105585.99,1286731.08,1818854.91,Supermercados
TRX-90014042,20251107,2025-11-07,PRD-16,CC-101,48.0,90894.78,44950.76,4362949.66,2157636.71,2205312.95,Canal Horeca
TRX-90027354,20241016,2024-10-16,PRD-33,CC-202,242.0,144250.35,56189.23,34908583.61,13597792.51,21310791.1,Distribuidor Mayorista
TRX-90029816,20231118,2023-11-18,PRD-36,CC-101,85.0,71347.78,31673.6,6064560.95,2692255.7,3372305.25,Supermercados
TRX-90021754,20250708,2025-07-08,PRD-26,CC-203,133.0,8248.07,51074.97,1096993.12,6792971.25,-5695978.13,Exportacion Directa
TRX-90028262,20250816,2025-08-16,PRD-34,CC-101,258.0,232283.21,116763.6,59929068.69,30125009.56,29804059.13,Supermercados
TRX-90019969,20230811,2023-08-11,PRD-24,CC-202,218.0,34977.79,12971.46,7625157.32,2827777.4,4797379.92,Canal Horeca
TRX-90021377,20220717,2022-07-17,PRD-26,CC-203,193.0,1167.52,4875.87,225330.93,941043.69,-715712.76,Exportacion Directa
TRX-90010270,20250616,2025-06-16,PRD-11,CC-101,36.0,363334.96,109053.82,13080058.63,3925937.37,9154121.26,Supermercados
TRX-90004244,20210606,2021-06-06,PRD-05,CC-101,167.0,19381.72,7228.68,3236747.21,1207190.27,2029556.94,Canal Horeca
TRX-90016055,20251010,2025-10-10,PRD-19,CC-203,109.0,11900.52,85375.37,1297157.08,9305915.4,-8008758.32,Exportacion Directa
TRX-90009252,20240417,2024-04-17,PRD-10,CC-202,64.0,112502.5,43482.74,7200160.02,2782895.24,4417264.78,Distribuidor Mayorista
TRX-90018027,20210814,2021-08-14,PRD-22,CC-203,110.0,691.06,3375.87,76016.65,371346.08,-295329.43,Exportacion Directa
TRX-90005330,20221202,2022-12-02,PRD-06,CC-202,168.0,11996.83,5905.5,2015467.91,992124.49,1023343.42,Supermercados
TRX-90023846,20211010,2021-10-10,PRD-30,CC-202,37.0,9090.97,3544.62,336365.78,131151.1,205214.68,Supermercados
TRX-90015239,20240512,2024-05-12,PRD-18,CC-202,38.0,77648.01,38453.25,2950624.2,1461223.45,1489400.75,Distribuidor Mayorista
TRX-90009708,20211227,2021-12-27,PRD-11,CC-101,49.0,21596.35,7092.75,1058220.92,347544.72,710676.2,Distribuidor Mayorista
TRX-90023984,20220603,2022-06-03,PRD-30,CC-101,146.0,12691.54,5060.1,1852965.42,738773.88,1114191.54,Distribuidor Mayorista
TRX-90018728,20210321,2021-03-21,PRD-23,CC-101,145.0,3966.88,1791.83,575197.33,259814.65,315382.68,Supermercados
TRX-90007534,20251220,2025-12-20,PRD-08,CC-203,123.0,37745.93,136327.21,4642749.41,16768246.88,-12125497.47,Exportacion Directa
TRX-90027410,20241203,2024-12-03,PRD-33,CC-101,231.0,149477.96,58531.94,34529409.2,13520877.45,21008531.75,Supermercados
TRX-90029170,20250513,2025-05-13,PRD-35,CC-202,194.0,233148.83,110479.35,45230873.51,21432993.62,23797879.89,Canal Horeca
TRX-90020569,20210920,2021-09-20,PRD-25,CC-202,178.0,4105.81,2028.41,730833.65,361056.18,369777.47,Supermercados
TRX-90002370,20250101,2025-01-01,PRD-02,CC-202,197.0,152181.95,59153.74,29979844.25,11653287.58,18326556.67,Supermercados
TRX-90021850,20210406,2021-04-06,PRD-27,CC-101,174.0,5585.26,2630.35,971835.68,457681.08,514154.6,Supermercados
TRX-90002467,20250718,2025-07-18,PRD-02,CC-101,112.0,182952.66,66842.62,20490698.48,7486373.42,13004325.06,Supermercados
TRX-90023258,20230517,2023-05-17,PRD-29,CC-101,246.0,14049.32,6888.41,3456132.19,1694548.39,1761583.8,Supermercados
TRX-90028301,20251101,2025-11-01,PRD-34,CC-202,157.0,251116.75,117222.64,39425330.0,18403953.94,21021376.06,Distribuidor Mayorista
TRX-90019936,20230605,2023-06-05,PRD-24,CC-202,144.0,28173.65,10820.94,4057005.07,1558215.67,2498789.4,Supermercados
TRX-90024800,20211009,2021-10-09,PRD-31,CC-101,177.0,10510.99,4337.74,1860445.47,767779.4,1092666.07,Distribuidor Mayorista
TRX-90020063,20231211,2023-12-11,PRD-24,CC-101,210.0,54452.75,22351.36,11435078.29,4693784.79,6741293.5,Distribuidor Mayorista
TRX-90007031,20230613,2023-06-13,PRD-08,CC-203,166.0,5464.74,22542.61,907147.12,3742073.95,-2834926.83,Exportacion Directa
TRX-90001878,20221005,2022-10-05,PRD-02,CC-101,224.0,19299.28,7449.92,4323037.87,1668781.47,2654256.4,Supermercados
TRX-90005446,20230717,2023-07-17,PRD-06,CC-101,113.0,19439.06,9315.4,2196613.94,1052639.84,1143974.1,Distribuidor Mayorista
TRX-90023157,20220901,2022-09-01,PRD-29,CC-203,235.0,627.59,4003.53,147483.29,940829.79,-793346.5,Exportacion Directa
TRX-90007604,20210511,2021-05-11,PRD-09,CC-202,74.0,4799.02,2337.16,355127.21,172949.97,182177.24,Supermercados
TRX-90017153,20220307,2022-03-07,PRD-21,CC-203,184.0,575.81,2950.29,105948.8,542853.06,-436904.26,Exportacion Directa
TRX-90013031,20210911,2021-09-11,PRD-15,CC-203,257.0,834.9,3854.66,214570.02,990648.21,-776078.19,Exportacion Directa
TRX-90024382,20240824,2024-08-24,PRD-30,CC-101,27.0,109188.64,45970.13,2948093.37,1241193.48,1706899.89,Canal Horeca
TRX-90013621,20211104,2021-11-04,PRD-16,CC-202,139.0,5391.14,2652.78,749369.11,368736.11,380633.0,Supermercados
TRX-90001844,20220804,2022-08-04,PRD-02,CC-202,170.0,17103.61,6949.65,2907613.02,1181439.7,1726173.32,Supermercados
TRX-90011259,20220303,2022-03-03,PRD-13,CC-203,199.0,763.05,4135.4,151846.16,822945.44,-671099.28,Exportacion Directa
TRX-90016151,20210615,2021-06-15,PRD-20,CC-203,128.0,2267.13,7538.46,290192.95,964923.19,-674730.24,Exportacion Directa
TRX-90023208,20221222,2022-12-22,PRD-29,CC-101,104.0,10504.66,4881.66,1092484.81,507692.32,584792.49,Canal Horeca
TRX-90019062,20230727,2023-07-27,PRD-23,CC-101,259.0,15541.11,7384.43,4025147.46,1912567.67,2112579.79,Supermercados
TRX-90027524,20250714,2025-07-14,PRD-33,CC-202,46.0,179912.07,68895.24,8275955.07,3169181.02,5106774.05,Distribuidor Mayorista
TRX-90018030,20210810,2021-08-10,PRD-22,CC-101,190.0,7967.08,3460.86,1513745.62,657563.8,856181.82,Canal Horeca
TRX-90001984,20230507,2023-05-07,PRD-02,CC-203,110.0,2422.15,12149.37,266436.53,1336430.32,-1069993.79,Exportacion Directa
TRX-90026645,20210102,2021-01-02,PRD-33,CC-203,168.0,693.64,3094.47,116531.19,519871.32,-403340.13,Exportacion Directa
TRX-90007010,20230517,2023-05-17,PRD-08,CC-202,116.0,64775.86,21863.84,7513999.29,2536205.19,4977794.1,Supermercados
TRX-90014873,20211005,2021-10-05,PRD-18,CC-101,124.0,6930.33,3073.72,859361.39,381141.05,478220.34,Canal Horeca
TRX-90006744,20211102,2021-11-02,PRD-08,CC-203,78.0,1751.34,7330.4,136604.51,571771.5,-435166.99,Exportacion Directa
TRX-90005524,20231218,2023-12-18,PRD-06,CC-202,178.0,38940.94,17460.57,6931487.29,3107980.75,3823506.54,Supermercados
TRX-90022861,20251116,2025-11-16,PRD-28,CC-101,150.0,229860.24,86573.33,34479035.76,12985999.09,21493036.67,Canal Horeca
TRX-90028816,20230809,2023-08-09,PRD-35,CC-101,84.0,58805.34,24473.92,4939648.57,2055809.04,2883839.53,Supermercados
TRX-90012205,20220110,2022-01-10,PRD-14,CC-101,23.0,5837.79,2886.24,134269.14,66383.59,67885.55,Canal Horeca
TRX-90003996,20241108,2024-11-08,PRD-04,CC-202,43.0,143882.22,71044.73,6186935.43,3054923.28,3132012.15,Supermercados
TRX-90021020,20241002,2024-10-02,PRD-25,CC-101,76.0,55225.62,26709.59,4197147.04,2029929.21,2167217.83,Supermercados
TRX-90007375,20250307,2025-03-07,PRD-08,CC-101,135.0,344423.87,110967.5,46497221.93,14980613.15,31516608.78,Distribuidor Mayorista
TRX-90015439,20251104,2025-11-04,PRD-18,CC-202,244.0,117975.29,58556.74,28785970.3,14287844.09,14498126.21,Canal Horeca
TRX-90001755,20220217,2022-02-17,PRD-02,CC-203,169.0,907.11,4616.29,153302.2,780153.5,-626851.3,Exportacion Directa
TRX-90020283,20250226,2025-02-26,PRD-24,CC-203,147.0,7781.75,52095.36,1143917.78,7658018.29,-6514100.51,Exportacion Directa
TRX-90008753,20210603,2021-06-03,PRD-10,CC-203,103.0,897.6,3436.5,92453.0,353959.04,-261506.04,Exportacion Directa
TRX-90001414,20241020,2024-10-20,PRD-01,CC-101,110.0,69133.7,35635.08,7604707.46,3919858.33,3684849.13,Supermercados
TRX-90004488,20221013,2022-10-13,PRD-05,CC-202,233.0,38424.58,15511.52,8952928.0,3614184.74,5338743.26,Supermercados
TRX-90006152,20220805,2022-08-05,PRD-07,CC-203,66.0,929.63,7340.63,61355.6,484481.73,-423126.13,Exportacion Directa
TRX-90005373,20230322,2023-03-22,PRD-06,CC-101,205.0,14864.51,6926.04,3047223.88,1419838.65,1627385.23,Canal Horeca
TRX-90013748,20230317,2023-03-17,PRD-16,CC-203,212.0,619.48,6495.98,131330.04,1377147.47,-1245817.43,Exportacion Directa
TRX-90022336,20250926,2025-09-26,PRD-27,CC-202,96.0,99049.39,53945.77,9508741.2,5178794.07,4329947.13,Canal Horeca
TRX-90023830,20210821,2021-08-21,PRD-30,CC-101,30.0,8465.18,3349.84,253955.44,100495.28,153460.16,Supermercados
TRX-90027677,20210823,2021-08-23,PRD-34,CC-101,238.0,13475.48,6205.12,3207164.31,1476818.69,1730345.62,Distribuidor Mayorista
TRX-90023229,20230318,2023-03-18,PRD-29,CC-202,43.0,13044.99,5899.87,560934.49,253694.47,307240.02,Canal Horeca
TRX-90014584,20240823,2024-08-23,PRD-17,CC-101,69.0,125630.53,50405.49,8668506.33,3477979.02,5190527.31,Canal Horeca
TRX-90002228,20240612,2024-06-12,PRD-02,CC-101,194.0,120169.23,46981.13,23312829.88,9114338.98,14198490.9,Supermercados
TRX-90016700,20240722,2024-07-22,PRD-20,CC-203,165.0,23955.2,103474.48,3952608.52,17073289.3,-13120680.78,Exportacion Directa
TRX-90010241,20250319,2025-03-19,PRD-11,CC-203,186.0,23279.88,106483.03,4330057.71,19805842.77,-15475785.06,Exportacion Directa
TRX-90010671,20230802,2023-08-02,PRD-12,CC-101,187.0,16718.88,7912.58,3126430.47,1479652.49,1646777.98,Canal Horeca
TRX-90020180,20240705,2024-07-05,PRD-24,CC-203,159.0,6629.38,41715.29,1054071.69,6632731.31,-5578659.62,Exportacion Directa
TRX-90026768,20210822,2021-08-22,PRD-33,CC-101,149.0,10530.76,3791.66,1569083.32,564956.95,1004126.37,Canal Horeca
TRX-90019871,20230226,2023-02-26,PRD-24,CC-203,77.0,1425.74,8280.71,109782.25,637614.73,-527832.48,Exportacion Directa
TRX-90028109,20240816,2024-08-16,PRD-34,CC-101,104.0,187289.52,81491.56,19478110.15,8475122.36,11002987.79,Distribuidor Mayorista
TRX-90016628,20240215,2024-02-15,PRD-20,CC-202,96.0,244107.27,74685.93,23434298.03,7169849.6,16264448.43,Supermercados
TRX-90011066,20210514,2021-05-14,PRD-13,CC-101,166.0,6918.6,2851.13,1148487.66,473287.45,675200.21,Supermercados
