DateKey,TipoCambioSpotA3500,FuturoRofex1M,FuturoRofex3M,DiasVencimiento1M,DiasVencimiento3M,TasaLecapReferenciaTNA
20250222,1093.12,1120.52,1183.8,30,90,0.4099
20250223,1100.55,1125.65,1185.86,30,90,0.4004
20250224,1093.64,1119.73,1180.36,30,90,0.3946
20250225,1093.91,1123.15,1186.49,30,90,0.3852
20250226,1099.56,1128.76,1193.76,30,90,0.4041
20250227,1102.17,1129.92,1193.19,30,90,0.4018
20250228,1100.86,1128.07,1191.45,30,90,0.4106
20250301,1102.67,1129.29,1190.24,30,90,0.3882
20250302,1105.14,1135.26,1200.72,30,90,0.3955
20250303,1102.32,1129.66,1191.89,30,90,0.3943
20250304,1099.99,1131.21,1197.59,30,90,0.3936
20250305,1103.22,1129.86,1191.32,30,90,0.3941
20250306,1107.92,1135.47,1196.63,30,90,0.3765
20250307,1102.93,1136.76,1206.72,30,90,0.4015
20250308,1107.63,1135.05,1197.93,30,90,0.3993
20250309,1109.18,1143.37,1214.1,30,90,0.4037
20250310,1108.76,1138.9,1206.06,30,90,0.4145
20250311,1112.37,1143.99,1210.73,30,90,0.3884
20250312,1113.02,1145.29,1212.96,30,90,0.3908
20250313,1118.39,1153.22,1223.87,30,90,0.3908
20250314,1115.15,1144.92,1211.47,30,90,0.4098
20250315,1113.09,1142.26,1205.02,30,90,0.3726
20250316,1114.23,1148.5,1218.7,30,90,0.3944
20250317,1114.58,1148.74,1217.18,30,90,0.3744
20250318,1120.06,1152.22,1217.67,30,90,0.3629
20250319,1117.29,1151.69,1219.96,30,90,0.3681
20250320,1119.56,1153.4,1221.6,30,90,0.374
20250321,1122.63,1160.83,1235.91,30,90,0.3981
20250322,1119.98,1156.03,1227.04,30,90,0.3783
20250323,1122.09,1161.35,1236.44,30,90,0.3843
20250324,1119.26,1158.71,1233.12,30,90,0.3746
20250325,1122.19,1165.45,1245.58,30,90,0.3919
20250326,1124.52,1162.92,1236.3,30,90,0.3744
20250327,1128.01,1169.86,1249.1,30,90,0.3981
20250328,1131.0,1171.93,1248.3,30,90,0.3746
20250329,1129.02,1169.88,1246.26,30,90,0.3765
20250330,1130.76,1173.35,1252.4,30,90,0.385
20250331,1131.58,1171.66,1247.85,30,90,0.3836
20250401,1134.92,1180.36,1263.68,30,90,0.3972
20250402,1135.49,1177.62,1256.19,30,90,0.3837
20250403,1134.99,1176.04,1252.26,30,90,0.37
20250404,1132.84,1173.47,1249.67,30,90,0.3761
20250405,1138.68,1184.83,1267.22,30,90,0.3755
20250406,1138.43,1183.5,1265.75,30,90,0.3881
20250407,1141.61,1189.01,1273.61,30,90,0.3843
20250408,1139.52,1184.78,1266.51,30,90,0.3788
20250409,1145.55,1188.29,1268.22,30,90,0.3883
20250410,1140.83,1183.23,1261.43,30,90,0.3739
20250411,1146.78,1193.19,1276.26,30,90,0.3774
20250412,1144.15,1187.79,1267.98,30,90,0.3802
20250413,1143.64,1187.78,1269.59,30,90,0.3932
20250414,1143.18,1187.31,1267.71,30,90,0.3766
20250415,1146.7,1190.51,1270.39,30,90,0.3736
20250416,1151.71,1193.22,1270.09,30,90,0.3663
20250417,1151.27,1195.41,1276.59,30,90,0.3832
20250418,1152.02,1194.35,1272.45,30,90,0.37
20250419,1145.44,1184.06,1258.65,30,90,0.3789
20250420,1154.24,1196.5,1273.39,30,90,0.3561
20250421,1154.93,1197.07,1276.33,30,90,0.3851
20250422,1153.25,1196.62,1275.12,30,90,0.3609
20250423,1154.14,1192.92,1266.84,30,90,0.3661
20250424,1156.79,1196.06,1272.11,30,90,0.384
20250425,1162.2,1204.1,1281.12,30,90,0.3597
20250426,1156.34,1193.38,1265.92,30,90,0.3718
20250427,1158.99,1197.47,1271.76,30,90,0.3729
20250428,1164.56,1203.94,1278.43,30,90,0.3618
20250429,1161.13,1200.23,1276.29,30,90,0.3848
20250430,1162.43,1198.54,1271.44,30,90,0.3859
20250501,1164.68,1200.41,1269.94,30,90,0.3508
20250502,1162.43,1197.2,1266.02,30,90,0.3556
20250503,1167.19,1206.43,1282.22,30,90,0.3778
20250504,1164.71,1199.85,1269.2,30,90,0.3563
20250505,1171.05,1211.29,1287.17,30,90,0.365
20250506,1169.95,1200.98,1267.11,30,90,0.3698
20250507,1176.75,1210.97,1281.26,30,90,0.375
20250508,1172.85,1203.4,1268.71,30,90,0.3654
20250509,1176.67,1211.28,1281.4,30,90,0.3682
20250510,1171.11,1203.45,1270.12,30,90,0.3591
20250511,1175.17,1208.87,1278.92,30,90,0.3794
20250512,1177.39,1205.86,1268.63,30,90,0.3611
20250513,1182.06,1210.93,1274.96,30,90,0.369
20250514,1174.61,1199.45,1258.06,30,90,0.3601
20250515,1182.4,1214.74,1282.3,30,90,0.3658
20250516,1182.52,1211.76,1275.65,30,90,0.3627
20250517,1185.99,1213.35,1275.22,30,90,0.3623
20250518,1185.06,1213.46,1275.67,30,90,0.3534
20250519,1184.52,1213.91,1278.75,30,90,0.3711
20250520,1184.21,1214.26,1280.34,30,90,0.3769
20250521,1183.52,1207.02,1264.8,30,90,0.3647
20250522,1188.25,1213.81,1274.37,30,90,0.3692
20250523,1188.4,1215.59,1278.02,30,90,0.3699
20250524,1195.06,1222.59,1285.63,30,90,0.3704
20250525,1189.61,1217.41,1279.99,30,90,0.3637
20250526,1193.06,1216.87,1275.04,30,90,0.3624
20250527,1189.47,1215.98,1277.56,30,90,0.3685
20250528,1193.53,1223.38,1288.0,30,90,0.3601
20250529,1196.31,1222.23,1281.64,30,90,0.3493
20250530,1198.84,1226.18,1288.07,30,90,0.3588
20250531,1201.54,1225.38,1281.77,30,90,0.3393
20250601,1198.94,1226.26,1288.04,30,90,0.3577
20250602,1197.4,1227.31,1292.23,30,90,0.3615
20250603,1202.47,1230.17,1293.49,30,90,0.3693
20250604,1203.76,1232.88,1296.8,30,90,0.3581
20250605,1204.83,1230.87,1292.08,30,90,0.3654
20250606,1202.99,1231.29,1294.08,30,90,0.3557
20250607,1208.72,1237.13,1299.23,30,90,0.3451
20250608,1207.25,1232.34,1290.38,30,90,0.3408
20250609,1209.92,1239.61,1303.13,30,90,0.3448
20250610,1212.5,1238.78,1298.22,30,90,0.3404
20250611,1211.98,1240.47,1304.07,30,90,0.36
20250612,1212.32,1242.09,1306.33,30,90,0.3512
20250613,1218.14,1253.23,1324.13,30,90,0.3585
20250614,1214.51,1246.32,1313.04,30,90,0.3532
20250615,1214.31,1248.89,1319.49,30,90,0.3624
20250616,1216.48,1248.4,1316.1,30,90,0.3622
20250617,1221.06,1253.61,1320.55,30,90,0.3447
20250618,1218.81,1249.77,1315.19,30,90,0.348
20250619,1220.96,1253.54,1320.55,30,90,0.345
20250620,1223.81,1258.83,1327.56,30,90,0.3337
20250621,1220.69,1256.8,1328.69,30,90,0.3563
20250622,1218.81,1258.98,1335.71,30,90,0.361
20250623,1225.04,1261.49,1333.18,30,90,0.3486
20250624,1226.02,1262.64,1334.06,30,90,0.3434
20250625,1225.09,1266.84,1345.28,30,90,0.3588
20250626,1229.95,1265.09,1333.21,30,90,0.324
20250627,1230.45,1266.96,1338.87,30,90,0.3488
20250628,1227.61,1270.25,1348.77,30,90,0.3481
20250629,1232.55,1273.37,1349.32,30,90,0.3405
20250630,1231.93,1270.0,1344.66,30,90,0.3597
20250701,1229.88,1272.41,1351.51,30,90,0.3551
20250702,1235.89,1276.93,1353.37,30,90,0.3424
20250703,1235.81,1281.81,1363.83,30,90,0.3437
20250704,1235.23,1276.27,1352.51,30,90,0.3403
20250705,1239.57,1281.28,1358.22,30,90,0.3386
20250706,1240.65,1281.24,1356.21,30,90,0.3303
20250707,1239.16,1282.43,1362.72,30,90,0.3567
20250708,1242.78,1286.78,1367.62,30,90,0.3528
20250709,1245.49,1288.05,1367.12,30,90,0.3501
20250710,1242.34,1283.85,1359.91,30,90,0.3308
20250711,1246.25,1290.08,1371.67,30,90,0.3621
20250712,1246.48,1290.51,1372.21,30,90,0.3607
20250713,1253.32,1295.64,1373.93,30,90,0.3423
20250714,1244.18,1287.19,1364.96,30,90,0.331
20250715,1251.75,1294.67,1372.53,30,90,0.331
20250716,1250.43,1293.4,1372.43,30,90,0.3434
20250717,1252.12,1297.14,1377.19,30,90,0.3297
20250718,1258.31,1303.18,1384.0,30,90,0.3381
20250719,1254.72,1299.58,1381.32,30,90,0.3489
20250720,1261.52,1303.58,1379.95,30,90,0.3225
20250721,1256.0,1305.43,1392.99,30,90,0.3572
20250722,1259.17,1305.1,1388.46,30,90,0.3524
20250723,1258.25,1301.34,1378.9,30,90,0.324
20250724,1258.94,1295.09,1364.83,30,90,0.3218
20250725,1262.01,1302.95,1379.05,30,90,0.3327
20250726,1262.34,1298.86,1369.35,30,90,0.3248
20250727,1264.74,1305.21,1380.79,30,90,0.3321
20250728,1260.16,1299.16,1370.82,30,90,0.3085
20250729,1271.62,1310.64,1384.75,30,90,0.3316
20250730,1267.39,1310.25,1390.35,30,90,0.3515
20250731,1273.36,1309.49,1379.55,30,90,0.3219
20250801,1267.68,1307.18,1381.57,30,90,0.3299
20250802,1272.12,1305.34,1371.74,30,90,0.3173
20250803,1280.5,1318.19,1391.69,30,90,0.3382
20250804,1271.61,1308.84,1380.75,30,90,0.3291
20250805,1271.24,1310.24,1386.1,30,90,0.3504
20250806,1274.81,1309.98,1380.03,30,90,0.3326
20250807,1278.56,1316.83,1389.8,30,90,0.3264
20250808,1280.31,1313.92,1382.64,30,90,0.3353
20250809,1283.0,1314.75,1380.45,30,90,0.3243
20250810,1280.33,1305.54,1363.16,30,90,0.3155
20250811,1278.17,1313.86,1384.46,30,90,0.3315
20250812,1282.29,1312.39,1376.46,30,90,0.3264
20250813,1287.69,1315.87,1378.25,30,90,0.3294
20250814,1286.96,1319.95,1387.74,30,90,0.331
20250815,1282.1,1313.2,1377.93,30,90,0.3218
20250816,1288.12,1317.34,1380.98,30,90,0.3307
20250817,1292.91,1319.74,1382.09,30,90,0.3434
20250818,1295.93,1323.17,1383.29,30,90,0.3146
20250819,1293.23,1320.67,1383.63,30,90,0.3426
20250820,1293.81,1317.48,1374.36,30,90,0.3224
20250821,1291.15,1318.43,1378.68,30,90,0.3167
20250822,1293.35,1316.88,1376.09,30,90,0.3483
20250823,1296.79,1323.31,1383.66,30,90,0.3251
20250824,1299.14,1326.42,1388.8,30,90,0.3369
20250825,1300.55,1330.34,1394.94,30,90,0.3309
20250826,1299.11,1322.24,1377.03,30,90,0.3055
20250827,1298.64,1318.36,1371.09,30,90,0.3231
20250828,1300.8,1322.29,1376.37,30,90,0.3163
20250829,1301.06,1323.47,1377.73,30,90,0.3077
20250830,1306.78,1329.36,1383.48,30,90,0.303
20250831,1300.61,1326.37,1385.61,30,90,0.3213
20250901,1306.78,1326.87,1380.46,30,90,0.3258
20250902,1309.96,1333.44,1390.6,30,90,0.3234
20250903,1313.86,1339.55,1398.53,30,90,0.316
20250904,1311.45,1337.93,1397.2,30,90,0.3106
20250905,1315.0,1342.22,1402.15,30,90,0.3083
20250906,1312.72,1335.74,1391.38,30,90,0.3123
20250907,1313.08,1339.07,1397.49,30,90,0.3071
20250908,1314.48,1343.02,1405.04,30,90,0.3149
20250909,1321.21,1349.33,1411.19,30,90,0.3163
20250910,1321.1,1347.64,1406.86,30,90,0.3072
20250911,1321.06,1348.97,1410.31,30,90,0.3134
20250912,1329.39,1353.83,1410.98,30,90,0.3077
20250913,1322.21,1346.42,1403.85,30,90,0.3149
20250914,1325.07,1355.71,1420.74,30,90,0.3196
20250915,1325.52,1353.47,1415.19,30,90,0.3159
20250916,1325.43,1354.97,1418.68,30,90,0.3184
20250917,1333.0,1359.78,1418.48,30,90,0.2967
20250918,1332.21,1361.4,1423.98,30,90,0.3091
20250919,1326.18,1357.96,1423.83,30,90,0.3152
20250920,1329.91,1360.08,1424.59,30,90,0.3184
20250921,1333.21,1364.06,1427.15,30,90,0.2956
20250922,1335.33,1369.23,1437.41,30,90,0.3128
20250923,1331.24,1366.15,1436.35,30,90,0.3229
20250924,1330.21,1362.8,1429.01,30,90,0.3086
20250925,1332.32,1369.08,1439.96,30,90,0.309
20250926,1338.14,1378.73,1454.46,30,90,0.3141
20250927,1339.3,1374.91,1444.96,30,90,0.3116
20250928,1341.66,1382.52,1458.77,30,90,0.3155
20250929,1340.11,1380.13,1454.78,30,90,0.309
20250930,1340.21,1373.14,1440.04,30,90,0.3094
20251001,1339.46,1376.12,1446.14,30,90,0.2997
20251002,1346.58,1384.97,1457.62,30,90,0.3054
20251003,1347.92,1391.62,1471.52,30,90,0.3192
20251004,1350.72,1392.1,1468.02,30,90,0.3042
20251005,1351.46,1394.04,1471.3,30,90,0.3042
20251006,1350.25,1393.25,1470.57,30,90,0.3005
20251007,1355.34,1396.94,1474.07,30,90,0.3129
20251008,1352.87,1393.3,1467.41,30,90,0.2961
20251009,1352.81,1394.49,1471.69,30,90,0.3133
20251010,1354.4,1396.72,1472.77,30,90,0.2944
20251011,1355.49,1398.09,1474.32,30,90,0.2928
20251012,1352.79,1397.58,1477.36,30,90,0.305
20251013,1359.84,1402.95,1480.94,30,90,0.3039
20251014,1361.32,1408.44,1491.0,30,90,0.3051
20251015,1361.04,1409.12,1493.46,30,90,0.3124
20251016,1361.41,1409.29,1491.88,30,90,0.2972
20251017,1365.38,1412.46,1495.08,30,90,0.3053
20251018,1369.99,1414.46,1492.91,30,90,0.2914
20251019,1367.05,1414.84,1499.04,30,90,0.3127
20251020,1366.94,1413.72,1496.12,30,90,0.306
20251021,1367.98,1411.63,1490.47,30,90,0.3046
20251022,1370.54,1417.99,1500.68,30,90,0.3007
20251023,1368.81,1415.77,1496.86,30,90,0.2906
20251024,1372.91,1420.75,1503.31,30,90,0.2947
20251025,1374.63,1418.69,1497.92,30,90,0.3026
20251026,1380.35,1424.22,1502.79,30,90,0.297
20251027,1379.35,1423.07,1501.57,30,90,0.298
20251028,1380.84,1421.45,1495.01,30,90,0.2828
20251029,1377.73,1420.85,1498.62,30,90,0.2978
20251030,1382.44,1422.43,1495.92,30,90,0.2886
20251031,1379.18,1417.84,1489.37,30,90,0.2843
20251101,1384.07,1427.71,1505.73,30,90,0.2932
20251102,1385.6,1423.02,1492.44,30,90,0.2757
20251103,1383.9,1423.25,1497.35,30,90,0.3009
20251104,1392.07,1432.96,1509.03,30,90,0.302
20251105,1389.76,1427.11,1498.27,30,90,0.2925
20251106,1384.84,1420.54,1488.78,30,90,0.2827
20251107,1392.25,1426.61,1493.52,30,90,0.2828
20251108,1391.11,1422.9,1487.75,30,90,0.2903
20251109,1393.4,1424.57,1486.4,30,90,0.2672
20251110,1395.83,1426.7,1490.88,30,90,0.2928
20251111,1396.9,1430.63,1498.44,30,90,0.2972
20251112,1392.1,1420.62,1481.56,30,90,0.2871
20251113,1395.57,1427.96,1493.0,30,90,0.2848
20251114,1401.66,1433.81,1499.36,30,90,0.2912
20251115,1404.25,1434.8,1498.78,30,90,0.2925
20251116,1407.03,1436.86,1500.84,30,90,0.2995
20251117,1408.05,1437.1,1499.09,30,90,0.2883
20251118,1399.67,1421.54,1474.68,30,90,0.2808
20251119,1408.01,1431.6,1486.99,30,90,0.2827
20251120,1402.56,1428.32,1486.62,30,90,0.2887
20251121,1412.66,1440.72,1503.14,30,90,0.302
20251122,1410.53,1434.8,1491.0,30,90,0.2829
20251123,1408.32,1428.99,1480.39,30,90,0.2751
20251124,1417.47,1440.61,1495.06,30,90,0.2765
20251125,1415.33,1435.17,1484.62,30,90,0.2639
20251126,1410.27,1430.98,1483.78,30,90,0.2877
20251127,1417.01,1438.71,1490.93,30,90,0.2704
20251128,1415.72,1435.95,1486.62,30,90,0.2713
20251129,1419.11,1441.49,1493.77,30,90,0.2634
20251130,1418.94,1440.83,1493.42,30,90,0.2716
20251201,1424.82,1448.73,1505.38,30,90,0.288
20251202,1419.11,1439.61,1490.39,30,90,0.2688
20251203,1424.74,1441.97,1488.76,30,90,0.264
20251204,1429.76,1449.06,1500.21,30,90,0.2829
20251205,1424.44,1441.8,1490.12,30,90,0.2773
20251206,1428.31,1456.89,1518.4,30,90,0.2846
20251207,1429.57,1449.34,1501.46,30,90,0.2873
20251208,1428.63,1449.7,1502.4,30,90,0.2794
20251209,1433.25,1452.71,1502.33,30,90,0.2661
20251210,1433.16,1454.44,1507.25,30,90,0.2774
20251211,1431.84,1453.41,1507.13,30,90,0.2832
20251212,1439.89,1457.61,1506.06,30,90,0.272
20251213,1438.75,1457.88,1506.91,30,90,0.263
20251214,1437.64,1459.26,1513.66,30,90,0.288
20251215,1437.75,1461.03,1515.61,30,90,0.2724
20251216,1438.67,1461.16,1514.87,30,90,0.2721
20251217,1445.0,1468.63,1524.11,30,90,0.2759
20251218,1442.84,1470.36,1531.13,30,90,0.2857
20251219,1445.64,1471.01,1528.6,30,90,0.2776
20251220,1445.32,1474.21,1534.97,30,90,0.2712
20251221,1448.61,1476.28,1536.83,30,90,0.2809
20251222,1448.07,1479.62,1545.95,30,90,0.2952
20251223,1451.56,1479.28,1540.61,30,90,0.2872
20251224,1450.49,1482.77,1548.29,30,90,0.2796
20251225,1454.31,1482.72,1542.06,30,90,0.2612
20251226,1455.21,1492.16,1566.12,30,90,0.3096
20251227,1454.53,1486.09,1548.76,30,90,0.2597
20251228,1453.97,1486.04,1550.09,30,90,0.2675
20251229,1455.06,1488.44,1553.54,30,90,0.2638
20251230,1456.85,1492.35,1562.3,30,90,0.2867
20251231,1457.54,1496.48,1568.88,30,90,0.2742
