DateKey,AnioMes,CentroCostoID,CuentaID,OPEXPresupuestado,OPEXReal,DesvioOPEX,DesvioPorcentual
20250601,2025-06,CC-103,5.2.01,17576980.95,18940911.83,1363930.88,0.0776
20250601,2025-06,CC-104,5.2.01,12055960.3,11443427.83,-612532.47,-0.0508
20250601,2025-06,CC-201,5.2.01,22268006.16,22050314.69,-217691.47,-0.0098
20250601,2025-06,CC-202,5.2.02,8770828.75,8980417.93,209589.18,0.0239
20250601,2025-06,CC-203,5.2.02,17381515.32,15658010.56,-1723504.76,-0.0992
20250701,2025-07,CC-101,5.2.01,9619373.28,10643437.15,1024063.87,0.1065
20250701,2025-07,CC-102,5.2.03,8881945.64,8215031.96,-666913.68,-0.0751
20250701,2025-07,CC-103,5.2.03,13272059.37,14461310.76,1189251.39,0.0896
20250701,2025-07,CC-104,5.2.02,12248207.99,13703345.76,1455137.77,0.1188
20250701,2025-07,CC-201,5.2.02,14470888.69,13259624.36,-1211264.33,-0.0837
20250701,2025-07,CC-202,5.2.01,17921153.45,17737223.85,-183929.6,-0.0103
20250701,2025-07,CC-203,5.2.01,10161427.87,10392431.88,231004.01,0.0227
20250801,2025-08,CC-101,5.2.03,10347383.51,9509459.14,-837924.37,-0.081
20250801,2025-08,CC-102,5.2.03,7015711.77,7008052.98,-7658.79,-0.0011
20250801,2025-08,CC-103,5.2.01,16205497.64,16625371.4,419873.76,0.0259
20250801,2025-08,CC-104,5.2.01,17991280.29,17327514.71,-663765.58,-0.0369
20250801,2025-08,CC-201,5.2.01,10085005.71,9430941.47,-654064.24,-0.0649
20250801,2025-08,CC-202,5.2.01,8804699.47,8476645.62,-328053.85,-0.0373
20250801,2025-08,CC-203,5.2.03,15721240.5,17281832.92,1560592.42,0.0993
20250901,2025-09,CC-101,5.2.01,17725958.87,16859225.49,-866733.38,-0.0489
20250901,2025-09,CC-102,5.2.03,16694273.0,16230441.32,-463831.68,-0.0278
20250901,2025-09,CC-103,5.2.03,8241245.99,8994541.07,753295.08,0.0914
20250901,2025-09,CC-104,5.2.01,13997161.98,13104714.09,-892447.89,-0.0638
20250901,2025-09,CC-201,5.2.04,11728143.83,11296509.35,-431634.48,-0.0368
20250901,2025-09,CC-202,5.2.01,15104740.26,15100987.8,-3752.46,-0.0002
20250901,2025-09,CC-203,5.2.03,17882079.4,16309241.37,-1572838.03,-0.088
20251001,2025-10,CC-101,5.2.04,10905167.93,10970795.63,65627.7,0.006
20251001,2025-10,CC-102,5.2.04,12534469.1,12152241.51,-382227.59,-0.0305
20251001,2025-10,CC-103,5.2.01,15021642.74,16410308.83,1388666.09,0.0924
20251001,2025-10,CC-104,5.2.04,17325912.32,18662096.08,1336183.76,0.0771
20251001,2025-10,CC-201,5.2.03,16356382.17,16701828.41,345446.24,0.0211
20251001,2025-10,CC-202,5.2.02,16084770.49,15550287.4,-534483.09,-0.0332
20251001,2025-10,CC-203,5.2.02,11383266.38,11038590.9,-344675.48,-0.0303
20251101,2025-11,CC-101,5.2.02,12141260.69,11689939.87,-451320.82,-0.0372
20251101,2025-11,CC-102,5.2.01,17577725.86,17029754.64,-547971.22,-0.0312
20251101,2025-11,CC-103,5.2.04,8078489.92,8206936.1,128446.18,0.0159
20251101,2025-11,CC-104,5.2.01,7628089.86,7050792.18,-577297.68,-0.0757
20251101,2025-11,CC-201,5.2.02,9413283.28,9433588.25,20304.97,0.0022
20251101,2025-11,CC-202,5.2.04,11765760.26,12659160.43,893400.17,0.0759
20251101,2025-11,CC-203,5.2.01,15134221.19,15040238.05,-93983.14,-0.0062
20251201,2025-12,CC-101,5.2.02,10670746.28,10346602.43,-324143.85,-0.0304
20251201,2025-12,CC-102,5.2.01,15513945.96,14140278.03,-1373667.93,-0.0885
20251201,2025-12,CC-103,5.2.03,7141038.14,7676757.15,535719.01,0.075
20251201,2025-12,CC-104,5.2.01,12248610.14,11376433.77,-872176.37,-0.0712
20251201,2025-12,CC-201,5.2.02,9591225.28,10599750.96,1008525.68,0.1052
20251201,2025-12,CC-202,5.2.02,16454532.73,17378499.35,923966.62,0.0562
20251201,2025-12,CC-203,5.2.02,12304477.53,12482538.06,178060.53,0.0145
