ClienteID,RazonSocial,Canal,VolumenMensualCajas,PlazoPagoDias,ProbabilidadDefault,ScoreRiesgo,NivelRiesgo,PrescripcionAccion
CLI-0055,Distribuidora / Importador 55,Distribuidor Mayorista,4125,60,0.6537,65.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0056,Distribuidora / Importador 56,Distribuidor Mayorista,3809,30,0.4459,44.6,🟢 BAJO,Mantener linea ordinaria
CLI-0057,Distribuidora / Importador 57,Distribuidor Mayorista,924,90,0.7166,71.7,🔴 CRITICO,Exigir pago anticipado
CLI-0058,Distribuidora / Importador 58,Distribuidor Mayorista,1412,90,0.756,75.6,🔴 CRITICO,Exigir pago anticipado
CLI-0059,Distribuidora / Importador 59,Distribuidor Mayorista,2357,90,0.8275,82.8,🔴 CRITICO,Exigir pago anticipado
CLI-0060,Distribuidora / Importador 60,Distribuidor Mayorista,3946,60,0.6129,61.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0061,Distribuidora / Importador 61,Distribuidor Mayorista,1232,60,0.5858,58.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0062,Distribuidora / Importador 62,Exportacion FOB,1558,45,0.7773,77.7,🔴 CRITICO,Exigir pago anticipado
CLI-0063,Distribuidora / Importador 63,Distribuidor Mayorista,746,90,0.7735,77.3,🔴 CRITICO,Exigir pago anticipado
CLI-0064,Distribuidora / Importador 64,Exportacion FOB,694,90,0.9382,93.8,🔴 CRITICO,Exigir pago anticipado
CLI-0065,Distribuidora / Importador 65,Exportacion FOB,3463,30,0.6528,65.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0066,Distribuidora / Importador 66,Exportacion FOB,5351,30,0.6893,68.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0067,Distribuidora / Importador 67,Distribuidor Mayorista,1707,45,0.5199,52.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0068,Distribuidora / Importador 68,Distribuidor Mayorista,4035,90,0.8302,83.0,🔴 CRITICO,Exigir pago anticipado
CLI-0069,Distribuidora / Importador 69,Exportacion FOB,2415,120,0.9896,99.0,🔴 CRITICO,Exigir pago anticipado
CLI-0070,Distribuidora / Importador 70,Distribuidor Mayorista,1079,30,0.2436,24.4,🟢 BAJO,Mantener linea ordinaria
CLI-0071,Distribuidora / Importador 71,Distribuidor Mayorista,2414,45,0.5788,57.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0072,Distribuidora / Importador 72,Exportacion FOB,6188,45,0.6829,68.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0073,Distribuidora / Importador 73,Exportacion FOB,1757,120,0.9837,98.4,🔴 CRITICO,Exigir pago anticipado
CLI-0074,Distribuidora / Importador 74,Distribuidor Mayorista,6322,90,0.8277,82.8,🔴 CRITICO,Exigir pago anticipado
CLI-0075,Distribuidora / Importador 75,Distribuidor Mayorista,222,90,0.6789,67.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0076,Distribuidora / Importador 76,Distribuidor Mayorista,3490,45,0.6447,64.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0077,Distribuidora / Importador 77,Exportacion FOB,1938,45,0.7616,76.2,🔴 CRITICO,Exigir pago anticipado
CLI-0078,Distribuidora / Importador 78,Exportacion FOB,1423,45,0.6979,69.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0079,Distribuidora / Importador 79,Distribuidor Mayorista,1946,30,0.4174,41.7,🟢 BAJO,Mantener linea ordinaria
CLI-0080,Distribuidora / Importador 80,Distribuidor Mayorista,369,90,0.7004,70.0,🔴 CRITICO,Exigir pago anticipado
CLI-0081,Distribuidora / Importador 81,Exportacion FOB,1517,90,0.8836,88.4,🔴 CRITICO,Exigir pago anticipado
CLI-0082,Distribuidora / Importador 82,Distribuidor Mayorista,2406,120,0.8766,87.7,🔴 CRITICO,Exigir pago anticipado
CLI-0083,Distribuidora / Importador 83,Distribuidor Mayorista,5898,120,0.9731,97.3,🔴 CRITICO,Exigir pago anticipado
CLI-0084,Distribuidora / Importador 84,Exportacion FOB,1194,45,0.7544,75.4,🔴 CRITICO,Exigir pago anticipado
CLI-0085,Distribuidora / Importador 85,Distribuidor Mayorista,947,60,0.5872,58.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0086,Distribuidora / Importador 86,Distribuidor Mayorista,1210,90,0.8165,81.7,🔴 CRITICO,Exigir pago anticipado
CLI-0087,Distribuidora / Importador 87,Distribuidor Mayorista,3761,90,0.8294,82.9,🔴 CRITICO,Exigir pago anticipado
CLI-0088,Distribuidora / Importador 88,Distribuidor Mayorista,2352,30,0.3362,33.6,🟢 BAJO,Mantener linea ordinaria
CLI-0089,Distribuidora / Importador 89,Exportacion FOB,1183,45,0.7702,77.0,🔴 CRITICO,Exigir pago anticipado
CLI-0090,Distribuidora / Importador 90,Distribuidor Mayorista,2726,30,0.38,38.0,🟢 BAJO,Mantener linea ordinaria
CLI-0091,Distribuidora / Importador 91,Exportacion FOB,1954,120,0.9492,94.9,🔴 CRITICO,Exigir pago anticipado
CLI-0092,Distribuidora / Importador 92,Distribuidor Mayorista,3924,60,0.7473,74.7,🔴 CRITICO,Exigir pago anticipado
CLI-0093,Distribuidora / Importador 93,Distribuidor Mayorista,1031,30,0.3007,30.1,🟢 BAJO,Mantener linea ordinaria
CLI-0094,Distribuidora / Importador 94,Distribuidor Mayorista,1391,60,0.7001,70.0,🔴 CRITICO,Exigir pago anticipado
CLI-0095,Distribuidora / Importador 95,Distribuidor Mayorista,1321,60,0.6976,69.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0096,Distribuidora / Importador 96,Distribuidor Mayorista,561,45,0.4804,48.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0097,Distribuidora / Importador 97,Distribuidor Mayorista,2291,30,0.5597,56.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0098,Distribuidora / Importador 98,Distribuidor Mayorista,2228,60,0.6999,70.0,🔴 CRITICO,Exigir pago anticipado
CLI-0099,Distribuidora / Importador 99,Distribuidor Mayorista,1815,45,0.6327,63.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0100,Distribuidora / Importador 100,Exportacion FOB,1499,60,0.7288,72.9,🔴 CRITICO,Exigir pago anticipado
CLI-0101,Distribuidora / Importador 101,Distribuidor Mayorista,583,45,0.358,35.8,🟢 BAJO,Mantener linea ordinaria
CLI-0102,Distribuidora / Importador 102,Exportacion FOB,1291,90,0.8644,86.4,🔴 CRITICO,Exigir pago anticipado
CLI-0103,Distribuidora / Importador 103,Distribuidor Mayorista,1374,45,0.5973,59.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0104,Distribuidora / Importador 104,Distribuidor Mayorista,952,45,0.5295,53.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0105,Distribuidora / Importador 105,Distribuidor Mayorista,1589,90,0.7526,75.3,🔴 CRITICO,Exigir pago anticipado
CLI-0106,Distribuidora / Importador 106,Distribuidor Mayorista,2498,45,0.6149,61.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0107,Distribuidora / Importador 107,Distribuidor Mayorista,8176,30,0.5924,59.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0108,Distribuidora / Importador 108,Exportacion FOB,2079,30,0.616,61.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0109,Distribuidora / Importador 109,Exportacion FOB,2222,60,0.8069,80.7,🔴 CRITICO,Exigir pago anticipado
CLI-0110,Distribuidora / Importador 110,Distribuidor Mayorista,1704,60,0.6932,69.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0111,Distribuidora / Importador 111,Distribuidor Mayorista,390,60,0.5228,52.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0112,Distribuidora / Importador 112,Exportacion FOB,1770,30,0.6016,60.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0113,Distribuidora / Importador 113,Distribuidor Mayorista,1897,30,0.3403,34.0,🟢 BAJO,Mantener linea ordinaria
CLI-0114,Distribuidora / Importador 114,Exportacion FOB,12973,30,0.8461,84.6,🔴 CRITICO,Exigir pago anticipado
CLI-0115,Distribuidora / Importador 115,Exportacion FOB,1550,45,0.6496,65.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0116,Distribuidora / Importador 116,Exportacion FOB,2301,45,0.586,58.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0117,Distribuidora / Importador 117,Distribuidor Mayorista,1759,45,0.539,53.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0118,Distribuidora / Importador 118,Distribuidor Mayorista,710,45,0.5193,51.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0119,Distribuidora / Importador 119,Distribuidor Mayorista,4511,90,0.7868,78.7,🔴 CRITICO,Exigir pago anticipado
CLI-0120,Distribuidora / Importador 120,Distribuidor Mayorista,3300,45,0.6852,68.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0121,Distribuidora / Importador 121,Exportacion FOB,3404,45,0.7842,78.4,🔴 CRITICO,Exigir pago anticipado
CLI-0122,Distribuidora / Importador 122,Distribuidor Mayorista,873,60,0.6237,62.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0123,Distribuidora / Importador 123,Distribuidor Mayorista,5554,45,0.5306,53.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0124,Distribuidora / Importador 124,Exportacion FOB,589,60,0.8141,81.4,🔴 CRITICO,Exigir pago anticipado
CLI-0125,Distribuidora / Importador 125,Exportacion FOB,2891,90,0.9299,93.0,🔴 CRITICO,Exigir pago anticipado
CLI-0126,Distribuidora / Importador 126,Exportacion FOB,10429,90,0.965,96.5,🔴 CRITICO,Exigir pago anticipado
CLI-0127,Distribuidora / Importador 127,Exportacion FOB,819,30,0.5585,55.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0128,Distribuidora / Importador 128,Distribuidor Mayorista,1149,90,0.7387,73.9,🔴 CRITICO,Exigir pago anticipado
CLI-0129,Distribuidora / Importador 129,Distribuidor Mayorista,1958,45,0.4706,47.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0130,Distribuidora / Importador 130,Exportacion FOB,1209,45,0.7961,79.6,🔴 CRITICO,Exigir pago anticipado
CLI-0131,Distribuidora / Importador 131,Distribuidor Mayorista,523,45,0.3994,39.9,🟢 BAJO,Mantener linea ordinaria
CLI-0132,Distribuidora / Importador 132,Distribuidor Mayorista,1910,120,0.9071,90.7,🔴 CRITICO,Exigir pago anticipado
CLI-0133,Distribuidora / Importador 133,Distribuidor Mayorista,773,45,0.4119,41.2,🟢 BAJO,Mantener linea ordinaria
CLI-0134,Distribuidora / Importador 134,Distribuidor Mayorista,2641,45,0.6766,67.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0135,Distribuidora / Importador 135,Exportacion FOB,866,60,0.7343,73.4,🔴 CRITICO,Exigir pago anticipado
CLI-0136,Distribuidora / Importador 136,Distribuidor Mayorista,6248,30,0.6038,60.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0137,Distribuidora / Importador 137,Distribuidor Mayorista,966,30,0.4276,42.8,🟢 BAJO,Mantener linea ordinaria
CLI-0138,Distribuidora / Importador 138,Distribuidor Mayorista,1397,30,0.5998,60.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0139,Distribuidora / Importador 139,Distribuidor Mayorista,3466,30,0.581,58.1,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0140,Distribuidora / Importador 140,Distribuidor Mayorista,675,30,0.2253,22.5,🟢 BAJO,Mantener linea ordinaria
CLI-0141,Distribuidora / Importador 141,Distribuidor Mayorista,2169,30,0.5245,52.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0142,Distribuidora / Importador 142,Exportacion FOB,5145,60,0.8262,82.6,🔴 CRITICO,Exigir pago anticipado
CLI-0143,Distribuidora / Importador 143,Distribuidor Mayorista,500,30,0.3939,39.4,🟢 BAJO,Mantener linea ordinaria
CLI-0144,Distribuidora / Importador 144,Distribuidor Mayorista,2096,45,0.4877,48.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0145,Distribuidora / Importador 145,Distribuidor Mayorista,2226,90,0.7751,77.5,🔴 CRITICO,Exigir pago anticipado
CLI-0146,Distribuidora / Importador 146,Distribuidor Mayorista,3379,45,0.5096,51.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0147,Distribuidora / Importador 147,Distribuidor Mayorista,672,60,0.4845,48.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0148,Distribuidora / Importador 148,Exportacion FOB,629,30,0.7009,70.1,🔴 CRITICO,Exigir pago anticipado
CLI-0149,Distribuidora / Importador 149,Distribuidor Mayorista,2745,30,0.3098,31.0,🟢 BAJO,Mantener linea ordinaria
CLI-0150,Distribuidora / Importador 150,Exportacion FOB,2293,30,0.6101,61.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0151,Distribuidora / Importador 151,Distribuidor Mayorista,2209,30,0.3061,30.6,🟢 BAJO,Mantener linea ordinaria
CLI-0152,Distribuidora / Importador 152,Distribuidor Mayorista,2385,45,0.599,59.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0153,Distribuidora / Importador 153,Distribuidor Mayorista,1049,30,0.373,37.3,🟢 BAJO,Mantener linea ordinaria
CLI-0154,Distribuidora / Importador 154,Exportacion FOB,2177,30,0.5822,58.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0155,Distribuidora / Importador 155,Distribuidor Mayorista,2286,30,0.4227,42.3,🟢 BAJO,Mantener linea ordinaria
CLI-0156,Distribuidora / Importador 156,Distribuidor Mayorista,1021,45,0.5487,54.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0157,Distribuidora / Importador 157,Distribuidor Mayorista,8044,30,0.5963,59.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0158,Distribuidora / Importador 158,Distribuidor Mayorista,2641,45,0.4596,46.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0159,Distribuidora / Importador 159,Distribuidor Mayorista,697,45,0.4022,40.2,🟢 BAJO,Mantener linea ordinaria
CLI-0160,Distribuidora / Importador 160,Distribuidor Mayorista,3057,60,0.5837,58.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0161,Distribuidora / Importador 161,Distribuidor Mayorista,829,30,0.3601,36.0,🟢 BAJO,Mantener linea ordinaria
CLI-0162,Distribuidora / Importador 162,Distribuidor Mayorista,3394,60,0.719,71.9,🔴 CRITICO,Exigir pago anticipado
CLI-0163,Distribuidora / Importador 163,Distribuidor Mayorista,4568,60,0.7427,74.3,🔴 CRITICO,Exigir pago anticipado
CLI-0164,Distribuidora / Importador 164,Exportacion FOB,938,30,0.6687,66.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0165,Distribuidora / Importador 165,Exportacion FOB,3908,90,0.9254,92.5,🔴 CRITICO,Exigir pago anticipado
CLI-0166,Distribuidora / Importador 166,Exportacion FOB,2515,90,0.8824,88.2,🔴 CRITICO,Exigir pago anticipado
CLI-0167,Distribuidora / Importador 167,Distribuidor Mayorista,3490,30,0.6403,64.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0168,Distribuidora / Importador 168,Distribuidor Mayorista,8246,45,0.7603,76.0,🔴 CRITICO,Exigir pago anticipado
CLI-0169,Distribuidora / Importador 169,Distribuidor Mayorista,1486,90,0.8419,84.2,🔴 CRITICO,Exigir pago anticipado
CLI-0170,Distribuidora / Importador 170,Distribuidor Mayorista,989,60,0.6164,61.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0171,Distribuidora / Importador 171,Distribuidor Mayorista,887,30,0.2683,26.8,🟢 BAJO,Mantener linea ordinaria
CLI-0172,Distribuidora / Importador 172,Distribuidor Mayorista,941,30,0.5178,51.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0173,Distribuidora / Importador 173,Distribuidor Mayorista,1700,45,0.6671,66.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0174,Distribuidora / Importador 174,Distribuidor Mayorista,2375,45,0.4475,44.8,🟢 BAJO,Mantener linea ordinaria
CLI-0175,Distribuidora / Importador 175,Exportacion FOB,2256,60,0.6733,67.3,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0176,Distribuidora / Importador 176,Distribuidor Mayorista,3504,45,0.4108,41.1,🟢 BAJO,Mantener linea ordinaria
CLI-0177,Distribuidora / Importador 177,Distribuidor Mayorista,1827,45,0.5522,55.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0178,Distribuidora / Importador 178,Distribuidor Mayorista,5784,60,0.69,69.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0179,Distribuidora / Importador 179,Distribuidor Mayorista,1463,30,0.4241,42.4,🟢 BAJO,Mantener linea ordinaria
CLI-0180,Distribuidora / Importador 180,Distribuidor Mayorista,15933,45,0.722,72.2,🔴 CRITICO,Exigir pago anticipado
CLI-0181,Distribuidora / Importador 181,Exportacion FOB,2983,60,0.9062,90.6,🔴 CRITICO,Exigir pago anticipado
CLI-0182,Distribuidora / Importador 182,Exportacion FOB,911,90,0.8891,88.9,🔴 CRITICO,Exigir pago anticipado
CLI-0183,Distribuidora / Importador 183,Distribuidor Mayorista,768,45,0.4418,44.2,🟢 BAJO,Mantener linea ordinaria
CLI-0184,Distribuidora / Importador 184,Exportacion FOB,2660,45,0.6736,67.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0185,Distribuidora / Importador 185,Exportacion FOB,1512,30,0.7355,73.6,🔴 CRITICO,Exigir pago anticipado
CLI-0186,Distribuidora / Importador 186,Exportacion FOB,3201,45,0.6984,69.8,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0187,Distribuidora / Importador 187,Exportacion FOB,2640,45,0.7327,73.3,🔴 CRITICO,Exigir pago anticipado
CLI-0188,Distribuidora / Importador 188,Distribuidor Mayorista,1706,30,0.6121,61.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0189,Distribuidora / Importador 189,Distribuidor Mayorista,918,45,0.4723,47.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0190,Distribuidora / Importador 190,Distribuidor Mayorista,538,45,0.6374,63.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0191,Distribuidora / Importador 191,Distribuidor Mayorista,1265,30,0.3288,32.9,🟢 BAJO,Mantener linea ordinaria
CLI-0192,Distribuidora / Importador 192,Exportacion FOB,3587,45,0.7785,77.8,🔴 CRITICO,Exigir pago anticipado
CLI-0193,Distribuidora / Importador 193,Distribuidor Mayorista,2146,30,0.4874,48.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0194,Distribuidora / Importador 194,Exportacion FOB,667,45,0.6655,66.5,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0195,Distribuidora / Importador 195,Exportacion FOB,2077,30,0.6523,65.2,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0196,Distribuidora / Importador 196,Exportacion FOB,2461,90,0.9065,90.7,🔴 CRITICO,Exigir pago anticipado
CLI-0197,Distribuidora / Importador 197,Exportacion FOB,892,45,0.5941,59.4,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0198,Distribuidora / Importador 198,Distribuidor Mayorista,2045,60,0.6991,69.9,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0199,Distribuidora / Importador 199,Distribuidor Mayorista,1894,60,0.6401,64.0,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0200,Distribuidora / Importador 200,Distribuidor Mayorista,725,45,0.4571,45.7,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0201,Distribuidora / Importador 201,Distribuidor Mayorista,2407,30,0.3284,32.8,🟢 BAJO,Mantener linea ordinaria
CLI-0202,Distribuidora / Importador 202,Distribuidor Mayorista,2832,45,0.7345,73.4,🔴 CRITICO,Exigir pago anticipado
CLI-0203,Distribuidora / Importador 203,Distribuidor Mayorista,4300,45,0.4655,46.6,🟡 MODERADO,Plazo 30d y aval bancario
CLI-0204,Distribuidora / Importador 204,Exportacion FOB,4201,60,0.8078,80.8,🔴 CRITICO,Exigir pago anticipado
CLI-0205,Distribuidora / Importador 205,Distribuidor Mayorista,601,45,0.4989,49.9,🟡 MODERADO,Plazo 30d y aval bancario
