TransaccionID,DateKeyEmbarque,FechaEmbarque,ProductoID,PlazoDiasCobro,FechaCobroEstimada,ImporteFOB_USD,TipoCambioEmbarque,EstadoCobranza
TRX-90001170,20250211,2025-02-11,PRD-04,60,2025-04-12,550.27,1082.55,Cobrado
TRX-90001177,20250212,2025-02-12,PRD-01,60,2025-04-13,899.86,1084.5,Cobrado
TRX-90001183,20250213,2025-02-13,PRD-05,60,2025-04-14,1990.06,1087.2,Cobrado
TRX-90001184,20250213,2025-02-13,PRD-03,60,2025-04-14,562.52,1087.2,Cobrado
TRX-90001185,20250213,2025-02-13,PRD-02,90,2025-05-14,538.48,1087.2,Cobrado
TRX-90001189,20250214,2025-02-14,PRD-04,90,2025-05-15,1171.65,1087.69,Cobrado
TRX-90001190,20250214,2025-02-14,PRD-03,90,2025-05-15,572.63,1087.69,Cobrado
TRX-90001200,20250216,2025-02-16,PRD-05,30,2025-03-18,268.04,1089.62,Cobrado
TRX-90001204,20250218,2025-02-18,PRD-05,30,2025-03-20,1352.86,1088.33,Cobrado
TRX-90001205,20250218,2025-02-18,PRD-05,60,2025-04-19,913.32,1088.33,Cobrado
TRX-90001206,20250218,2025-02-18,PRD-02,90,2025-05-19,1622.72,1088.33,Cobrado
TRX-90001209,20250219,2025-02-19,PRD-02,90,2025-05-20,1228.98,1089.06,Cobrado
TRX-90001210,20250219,2025-02-19,PRD-01,60,2025-04-20,1135.28,1089.06,Cobrado
TRX-90001213,20250219,2025-02-19,PRD-01,90,2025-05-20,1220.51,1089.06,Cobrado
TRX-90001215,20250220,2025-02-20,PRD-02,90,2025-05-21,1087.22,1090.64,Cobrado
TRX-90001216,20250220,2025-02-20,PRD-02,60,2025-04-21,722.32,1090.64,Cobrado
TRX-90001218,20250220,2025-02-20,PRD-02,60,2025-04-21,131.57,1090.64,Cobrado
TRX-90001224,20250221,2025-02-21,PRD-03,90,2025-05-22,143.19,1094.03,Cobrado
TRX-90001226,20250221,2025-02-21,PRD-04,60,2025-04-22,1147.45,1094.03,Cobrado
TRX-90001233,20250222,2025-02-22,PRD-05,60,2025-04-23,224.47,1093.12,Cobrado
TRX-90001234,20250223,2025-02-23,PRD-05,60,2025-04-24,1392.7,1100.55,Cobrado
TRX-90001235,20250223,2025-02-23,PRD-02,90,2025-05-24,1038.55,1100.55,Cobrado
TRX-90001241,20250224,2025-02-24,PRD-01,90,2025-05-25,1384.01,1093.64,Cobrado
TRX-90001254,20250227,2025-02-27,PRD-03,90,2025-05-28,253.1,1102.17,Cobrado
TRX-90001260,20250228,2025-02-28,PRD-01,30,2025-03-30,1211.82,1100.86,Cobrado
TRX-90001261,20250228,2025-02-28,PRD-02,60,2025-04-29,756.38,1100.86,Cobrado
TRX-90001262,20250228,2025-02-28,PRD-02,90,2025-05-29,640.84,1100.86,Cobrado
TRX-90001263,20250301,2025-03-01,PRD-03,30,2025-03-31,300.85,1102.67,Cobrado
TRX-90001265,20250301,2025-03-01,PRD-05,60,2025-04-30,1745.44,1102.67,Cobrado
TRX-90001267,20250301,2025-03-01,PRD-01,60,2025-04-30,332.07,1102.67,Cobrado
TRX-90001271,20250302,2025-03-02,PRD-03,60,2025-05-01,407.72,1105.14,Cobrado
TRX-90001273,20250303,2025-03-03,PRD-03,60,2025-05-02,595.03,1102.32,Cobrado
TRX-90001274,20250303,2025-03-03,PRD-03,60,2025-05-02,534.39,1102.32,Cobrado
TRX-90001278,20250304,2025-03-04,PRD-01,30,2025-04-03,312.3,1099.99,Cobrado
TRX-90001282,20250305,2025-03-05,PRD-01,90,2025-06-03,919.23,1103.22,Cobrado
TRX-90001284,20250305,2025-03-05,PRD-03,60,2025-05-04,541.23,1103.22,Cobrado
TRX-90001297,20250307,2025-03-07,PRD-03,60,2025-05-06,66.31,1102.93,Cobrado
TRX-90001300,20250308,2025-03-08,PRD-04,90,2025-06-06,794.95,1107.63,Cobrado
TRX-90001309,20250309,2025-03-09,PRD-04,90,2025-06-07,600.74,1109.18,Cobrado
TRX-90001310,20250309,2025-03-09,PRD-05,90,2025-06-07,996.66,1109.18,Cobrado
TRX-90001312,20250309,2025-03-09,PRD-01,90,2025-06-07,1703.87,1109.18,Cobrado
TRX-90001322,20250311,2025-03-11,PRD-03,30,2025-04-10,82.95,1112.37,Cobrado
TRX-90001326,20250312,2025-03-12,PRD-03,120,2025-07-10,144.62,1113.02,Cobrado
TRX-90001329,20250312,2025-03-12,PRD-03,30,2025-04-11,166.24,1113.02,Cobrado
TRX-90001331,20250313,2025-03-13,PRD-04,30,2025-04-12,1160.59,1118.39,Cobrado
TRX-90001332,20250313,2025-03-13,PRD-02,120,2025-07-11,1326.29,1118.39,Cobrado
TRX-90001339,20250315,2025-03-15,PRD-01,120,2025-07-13,980.07,1113.09,Cobrado
TRX-90001340,20250315,2025-03-15,PRD-02,90,2025-06-13,559.62,1113.09,Cobrado
TRX-90001347,20250317,2025-03-17,PRD-03,90,2025-06-15,85.28,1114.58,Cobrado
TRX-90001348,20250317,2025-03-17,PRD-04,90,2025-06-15,552.16,1114.58,Cobrado
TRX-90001350,20250317,2025-03-17,PRD-04,60,2025-05-16,941.84,1114.58,Cobrado
TRX-90001352,20250318,2025-03-18,PRD-03,60,2025-05-17,375.01,1120.06,Cobrado
TRX-90001354,20250318,2025-03-18,PRD-05,30,2025-04-17,1861.46,1120.06,Cobrado
TRX-90001356,20250318,2025-03-18,PRD-04,60,2025-05-17,137.29,1120.06,Cobrado
TRX-90001360,20250319,2025-03-19,PRD-04,90,2025-06-17,933.77,1117.29,Cobrado
TRX-90001361,20250319,2025-03-19,PRD-03,90,2025-06-17,88.1,1117.29,Cobrado
TRX-90001363,20250319,2025-03-19,PRD-04,90,2025-06-17,398.79,1117.29,Cobrado
TRX-90001366,20250320,2025-03-20,PRD-02,120,2025-07-18,528.74,1119.56,Cobrado
TRX-90001367,20250320,2025-03-20,PRD-05,30,2025-04-19,422.01,1119.56,Cobrado
TRX-90001372,20250322,2025-03-22,PRD-02,90,2025-06-20,1716.53,1119.98,Cobrado
TRX-90001373,20250322,2025-03-22,PRD-04,60,2025-05-21,302.95,1119.98,Cobrado
TRX-90001374,20250322,2025-03-22,PRD-05,90,2025-06-20,1243.77,1119.98,Cobrado
TRX-90001376,20250323,2025-03-23,PRD-05,90,2025-06-21,878.49,1122.09,Cobrado
TRX-90001380,20250324,2025-03-24,PRD-05,60,2025-05-23,729.08,1119.26,Cobrado
TRX-90001381,20250324,2025-03-24,PRD-03,60,2025-05-23,538.55,1119.26,Cobrado
TRX-90001390,20250326,2025-03-26,PRD-03,60,2025-05-25,138.41,1124.52,Cobrado
TRX-90001393,20250327,2025-03-27,PRD-02,60,2025-05-26,1011.39,1128.01,Cobrado
TRX-90001401,20250329,2025-03-29,PRD-02,60,2025-05-28,1705.17,1129.02,Cobrado
TRX-90001402,20250329,2025-03-29,PRD-02,90,2025-06-27,450.91,1129.02,Cobrado
TRX-90001408,20250330,2025-03-30,PRD-01,60,2025-05-29,739.1,1130.76,Cobrado
TRX-90001419,20250403,2025-04-03,PRD-02,90,2025-07-02,436.14,1134.99,Cobrado
TRX-90001422,20250404,2025-04-04,PRD-05,120,2025-08-02,261.66,1132.84,Cobrado
TRX-90001423,20250404,2025-04-04,PRD-03,60,2025-06-03,141.4,1132.84,Cobrado
TRX-90001424,20250404,2025-04-04,PRD-05,90,2025-07-03,393.72,1132.84,Cobrado
TRX-90001431,20250407,2025-04-07,PRD-03,90,2025-07-06,382.17,1141.61,Cobrado
TRX-90001442,20250409,2025-04-09,PRD-04,90,2025-07-08,318.64,1145.55,Cobrado
TRX-90001444,20250410,2025-04-10,PRD-03,60,2025-06-09,644.38,1140.83,Cobrado
TRX-90001446,20250410,2025-04-10,PRD-04,60,2025-06-09,783.65,1140.83,Cobrado
TRX-90001460,20250413,2025-04-13,PRD-01,60,2025-06-12,213.52,1143.64,Cobrado
TRX-90001469,20250414,2025-04-14,PRD-04,90,2025-07-13,1101.83,1143.18,Cobrado
TRX-90001471,20250415,2025-04-15,PRD-05,90,2025-07-14,1859.38,1146.7,Cobrado
TRX-90001474,20250415,2025-04-15,PRD-01,90,2025-07-14,1473.09,1146.7,Cobrado
TRX-90001475,20250415,2025-04-15,PRD-01,60,2025-06-14,939.14,1146.7,Cobrado
TRX-90001477,20250416,2025-04-16,PRD-05,90,2025-07-15,855.0,1151.71,Cobrado
TRX-90001478,20250416,2025-04-16,PRD-05,90,2025-07-15,1791.3,1151.71,Cobrado
TRX-90001482,20250417,2025-04-17,PRD-04,90,2025-07-16,382.28,1151.27,Cobrado
TRX-90001483,20250418,2025-04-18,PRD-05,90,2025-07-17,1256.63,1152.02,Cobrado
TRX-90001485,20250418,2025-04-18,PRD-03,60,2025-06-17,323.15,1152.02,Cobrado
TRX-90001486,20250418,2025-04-18,PRD-02,120,2025-08-16,465.2,1152.02,Cobrado
TRX-90001488,20250419,2025-04-19,PRD-03,90,2025-07-18,476.62,1145.44,Cobrado
TRX-90001489,20250419,2025-04-19,PRD-02,90,2025-07-18,722.43,1145.44,Cobrado
TRX-90001496,20250420,2025-04-20,PRD-03,90,2025-07-19,722.39,1154.24,Cobrado
TRX-90001506,20250423,2025-04-23,PRD-02,120,2025-08-21,1019.12,1154.14,Cobrado
TRX-90001512,20250425,2025-04-25,PRD-03,90,2025-07-24,247.19,1162.2,Cobrado
TRX-90001515,20250426,2025-04-26,PRD-02,60,2025-06-25,1013.41,1156.34,Cobrado
TRX-90001530,20250430,2025-04-30,PRD-03,30,2025-05-30,540.93,1162.43,Cobrado
TRX-90001534,20250501,2025-05-01,PRD-02,60,2025-06-30,1625.36,1164.68,Cobrado
TRX-90001536,20250501,2025-05-01,PRD-01,60,2025-06-30,1069.93,1164.68,Cobrado
TRX-90001540,20250503,2025-05-03,PRD-04,60,2025-07-02,587.6,1167.19,Cobrado
TRX-90001541,20250503,2025-05-03,PRD-01,30,2025-06-02,242.45,1167.19,Cobrado
TRX-90001543,20250503,2025-05-03,PRD-05,90,2025-08-01,1222.56,1167.19,Cobrado
TRX-90001545,20250504,2025-05-04,PRD-01,60,2025-07-03,123.27,1164.71,Cobrado
TRX-90001550,20250505,2025-05-05,PRD-04,90,2025-08-03,1092.88,1171.05,Cobrado
TRX-90001555,20250506,2025-05-06,PRD-05,30,2025-06-05,961.28,1169.95,Cobrado
TRX-90001560,20250507,2025-05-07,PRD-05,90,2025-08-05,767.11,1176.75,Cobrado
TRX-90001564,20250509,2025-05-09,PRD-01,30,2025-06-08,302.59,1176.67,Cobrado
TRX-90001574,20250511,2025-05-11,PRD-01,120,2025-09-08,918.97,1175.17,Cobrado
TRX-90001580,20250512,2025-05-12,PRD-04,120,2025-09-09,564.17,1177.39,Cobrado
TRX-90001589,20250515,2025-05-15,PRD-02,90,2025-08-13,766.87,1182.4,Cobrado
TRX-90001592,20250516,2025-05-16,PRD-02,90,2025-08-14,1439.66,1182.52,Cobrado
TRX-90001593,20250516,2025-05-16,PRD-04,90,2025-08-14,133.78,1182.52,Cobrado
TRX-90001597,20250517,2025-05-17,PRD-02,90,2025-08-15,914.7,1185.99,Cobrado
TRX-90001599,20250517,2025-05-17,PRD-05,90,2025-08-15,954.45,1185.99,Cobrado
TRX-90001604,20250519,2025-05-19,PRD-05,120,2025-09-16,571.02,1184.52,Cobrado
TRX-90001613,20250520,2025-05-20,PRD-02,60,2025-07-19,652.35,1184.21,Cobrado
TRX-90001619,20250521,2025-05-21,PRD-03,90,2025-08-19,65.06,1183.52,Cobrado
TRX-90001623,20250522,2025-05-22,PRD-02,90,2025-08-20,974.0,1188.25,Cobrado
TRX-90001636,20250526,2025-05-26,PRD-04,60,2025-07-25,1021.15,1193.06,Cobrado
TRX-90001638,20250526,2025-05-26,PRD-02,90,2025-08-24,322.68,1193.06,Cobrado
TRX-90001647,20250527,2025-05-27,PRD-04,60,2025-07-26,114.96,1189.47,Cobrado
TRX-90001649,20250528,2025-05-28,PRD-02,30,2025-06-27,119.49,1193.53,Cobrado
TRX-90001656,20250529,2025-05-29,PRD-03,60,2025-07-28,287.94,1196.31,Cobrado
TRX-90001658,20250529,2025-05-29,PRD-04,120,2025-09-26,274.16,1196.31,Cobrado
TRX-90001659,20250529,2025-05-29,PRD-03,60,2025-07-28,196.26,1196.31,Cobrado
TRX-90001663,20250530,2025-05-30,PRD-02,90,2025-08-28,195.71,1198.84,Cobrado
TRX-90001666,20250531,2025-05-31,PRD-02,90,2025-08-29,1256.37,1201.54,Cobrado
TRX-90001676,20250603,2025-06-03,PRD-01,60,2025-08-02,433.78,1202.47,Cobrado
TRX-90001679,20250604,2025-06-04,PRD-02,60,2025-08-03,1150.33,1203.76,Cobrado
TRX-90001681,20250605,2025-06-05,PRD-01,60,2025-08-04,1302.78,1204.83,Cobrado
TRX-90001691,20250607,2025-06-07,PRD-02,60,2025-08-06,543.34,1208.72,Cobrado
TRX-90001695,20250608,2025-06-08,PRD-01,90,2025-09-06,606.98,1207.25,Cobrado
TRX-90001697,20250608,2025-06-08,PRD-02,60,2025-08-07,836.38,1207.25,Cobrado
TRX-90001700,20250609,2025-06-09,PRD-05,60,2025-08-08,851.08,1209.92,Cobrado
TRX-90001710,20250611,2025-06-11,PRD-04,60,2025-08-10,1167.76,1211.98,Cobrado
TRX-90001713,20250611,2025-06-11,PRD-01,60,2025-08-10,698.15,1211.98,Cobrado
TRX-90001715,20250612,2025-06-12,PRD-01,60,2025-08-11,1204.07,1212.32,Cobrado
TRX-90001717,20250612,2025-06-12,PRD-03,90,2025-09-10,334.33,1212.32,Cobrado
TRX-90001718,20250613,2025-06-13,PRD-05,90,2025-09-11,1425.06,1218.14,Cobrado
TRX-90001721,20250613,2025-06-13,PRD-03,90,2025-09-11,345.75,1218.14,Cobrado
TRX-90001722,20250613,2025-06-13,PRD-03,30,2025-07-13,230.65,1218.14,Cobrado
TRX-90001725,20250614,2025-06-14,PRD-01,30,2025-07-14,270.67,1214.51,Cobrado
TRX-90001727,20250614,2025-06-14,PRD-05,90,2025-09-12,1153.23,1214.51,Cobrado
TRX-90001741,20250618,2025-06-18,PRD-05,60,2025-08-17,1512.6,1218.81,Cobrado
TRX-90001744,20250619,2025-06-19,PRD-03,90,2025-09-17,257.0,1220.96,Cobrado
TRX-90001747,20250620,2025-06-20,PRD-04,90,2025-09-18,635.05,1223.81,Cobrado
TRX-90001750,20250620,2025-06-20,PRD-02,120,2025-10-18,888.46,1223.81,Cobrado
TRX-90001751,20250620,2025-06-20,PRD-04,120,2025-10-18,814.39,1223.81,Cobrado
TRX-90001752,20250620,2025-06-20,PRD-05,60,2025-08-19,1221.17,1223.81,Cobrado
TRX-90001753,20250621,2025-06-21,PRD-05,90,2025-09-19,1289.15,1220.69,Cobrado
TRX-90001755,20250621,2025-06-21,PRD-04,60,2025-08-20,947.58,1220.69,Cobrado
TRX-90001765,20250625,2025-06-25,PRD-04,60,2025-08-24,909.52,1225.09,Cobrado
TRX-90001768,20250626,2025-06-26,PRD-01,120,2025-10-24,284.84,1229.95,Cobrado
TRX-90001772,20250627,2025-06-27,PRD-03,90,2025-09-25,81.17,1230.45,Cobrado
TRX-90001775,20250627,2025-06-27,PRD-05,60,2025-08-26,354.0,1230.45,Cobrado
TRX-90001785,20250629,2025-06-29,PRD-05,90,2025-09-27,1250.83,1232.55,Cobrado
TRX-90001798,20250702,2025-07-02,PRD-01,120,2025-10-30,477.33,1235.89,Cobrado
TRX-90001801,20250702,2025-07-02,PRD-04,60,2025-08-31,652.69,1235.89,Cobrado
TRX-90001806,20250704,2025-07-04,PRD-05,60,2025-09-02,1186.82,1235.23,Cobrado
TRX-90001809,20250705,2025-07-05,PRD-01,90,2025-10-03,700.49,1239.57,Cobrado
TRX-90001810,20250705,2025-07-05,PRD-02,90,2025-10-03,686.61,1239.57,Cobrado
TRX-90001812,20250705,2025-07-05,PRD-02,90,2025-10-03,974.36,1239.57,Cobrado
TRX-90001817,20250707,2025-07-07,PRD-04,90,2025-10-05,905.7,1239.16,Cobrado
TRX-90001821,20250707,2025-07-07,PRD-05,90,2025-10-05,977.32,1239.16,Cobrado
TRX-90001822,20250707,2025-07-07,PRD-02,90,2025-10-05,544.47,1239.16,Cobrado
TRX-90001823,20250707,2025-07-07,PRD-05,90,2025-10-05,1007.73,1239.16,Cobrado
TRX-90001825,20250708,2025-07-08,PRD-05,90,2025-10-06,881.39,1242.78,Cobrado
TRX-90001827,20250709,2025-07-09,PRD-04,60,2025-09-07,229.36,1245.49,Cobrado
TRX-90001832,20250710,2025-07-10,PRD-05,60,2025-09-08,1768.72,1242.34,Cobrado
TRX-90001834,20250710,2025-07-10,PRD-05,60,2025-09-08,354.38,1242.34,Cobrado
TRX-90001836,20250710,2025-07-10,PRD-02,60,2025-09-08,332.16,1242.34,Cobrado
TRX-90001837,20250711,2025-07-11,PRD-04,60,2025-09-09,420.26,1246.25,Cobrado
TRX-90001842,20250711,2025-07-11,PRD-05,120,2025-11-08,1865.32,1246.25,Cobrado
TRX-90001848,20250712,2025-07-12,PRD-04,90,2025-10-10,1179.39,1246.48,Cobrado
TRX-90001849,20250712,2025-07-12,PRD-01,60,2025-09-10,518.46,1246.48,Cobrado
TRX-90001857,20250714,2025-07-14,PRD-01,60,2025-09-12,1139.79,1244.18,Cobrado
TRX-90001859,20250715,2025-07-15,PRD-05,30,2025-08-14,774.05,1251.75,Cobrado
TRX-90001862,20250715,2025-07-15,PRD-04,90,2025-10-13,952.57,1251.75,Cobrado
TRX-90001872,20250717,2025-07-17,PRD-05,60,2025-09-15,554.2,1252.12,Cobrado
TRX-90001878,20250718,2025-07-18,PRD-02,90,2025-10-16,1235.35,1258.31,Cobrado
TRX-90001881,20250719,2025-07-19,PRD-02,90,2025-10-17,844.22,1254.72,Cobrado
TRX-90001882,20250719,2025-07-19,PRD-02,120,2025-11-16,119.68,1254.72,Pendiente
TRX-90001887,20250720,2025-07-20,PRD-05,30,2025-08-19,341.21,1261.52,Cobrado
TRX-90001888,20250720,2025-07-20,PRD-02,60,2025-09-18,506.4,1261.52,Cobrado
TRX-90001889,20250720,2025-07-20,PRD-05,90,2025-10-18,1212.02,1261.52,Cobrado
TRX-90001890,20250720,2025-07-20,PRD-05,60,2025-09-18,213.15,1261.52,Cobrado
TRX-90001893,20250721,2025-07-21,PRD-03,60,2025-09-19,234.15,1256.0,Cobrado
TRX-90001894,20250721,2025-07-21,PRD-04,60,2025-09-19,683.45,1256.0,Cobrado
TRX-90001897,20250722,2025-07-22,PRD-01,90,2025-10-20,610.6,1259.17,Cobrado
TRX-90001905,20250724,2025-07-24,PRD-04,90,2025-10-22,506.83,1258.94,Cobrado
TRX-90001907,20250724,2025-07-24,PRD-04,90,2025-10-22,1196.87,1258.94,Cobrado
TRX-90001914,20250727,2025-07-27,PRD-01,60,2025-09-25,438.92,1264.74,Cobrado
TRX-90001923,20250729,2025-07-29,PRD-04,60,2025-09-27,265.01,1271.62,Cobrado
TRX-90001925,20250729,2025-07-29,PRD-01,60,2025-09-27,1084.57,1271.62,Cobrado
TRX-90001926,20250730,2025-07-30,PRD-02,90,2025-10-28,1354.97,1267.39,Cobrado
TRX-90001927,20250730,2025-07-30,PRD-04,60,2025-09-28,997.58,1267.39,Cobrado
TRX-90001928,20250730,2025-07-30,PRD-04,60,2025-09-28,878.36,1267.39,Cobrado
TRX-90001931,20250731,2025-07-31,PRD-05,60,2025-09-29,364.1,1273.36,Cobrado
TRX-90001933,20250731,2025-07-31,PRD-02,90,2025-10-29,745.07,1273.36,Cobrado
TRX-90001950,20250805,2025-08-05,PRD-01,60,2025-10-04,1050.79,1271.24,Cobrado
TRX-90001951,20250805,2025-08-05,PRD-02,90,2025-11-03,237.3,1271.24,Cobrado
TRX-90001956,20250806,2025-08-06,PRD-02,60,2025-10-05,465.2,1274.81,Cobrado
TRX-90001957,20250806,2025-08-06,PRD-01,90,2025-11-04,753.99,1274.81,Cobrado
TRX-90001959,20250807,2025-08-07,PRD-02,90,2025-11-05,1073.22,1278.56,Cobrado
TRX-90001960,20250807,2025-08-07,PRD-04,90,2025-11-05,296.8,1278.56,Cobrado
TRX-90001964,20250808,2025-08-08,PRD-05,60,2025-10-07,1191.4,1280.31,Cobrado
TRX-90001966,20250808,2025-08-08,PRD-01,120,2025-12-06,1358.34,1280.31,Pendiente
TRX-90001968,20250808,2025-08-08,PRD-02,120,2025-12-06,157.65,1280.31,Pendiente
TRX-90001969,20250808,2025-08-08,PRD-05,90,2025-11-06,1545.45,1280.31,Cobrado
TRX-90001970,20250808,2025-08-08,PRD-03,60,2025-10-07,161.98,1280.31,Cobrado
TRX-90001975,20250810,2025-08-10,PRD-05,60,2025-10-09,233.17,1280.33,Cobrado
TRX-90001976,20250810,2025-08-10,PRD-04,90,2025-11-08,1228.68,1280.33,Cobrado
TRX-90001986,20250812,2025-08-12,PRD-03,120,2025-12-10,455.69,1282.29,Pendiente
TRX-90001989,20250813,2025-08-13,PRD-04,90,2025-11-11,235.63,1287.69,Cobrado
TRX-90001997,20250814,2025-08-14,PRD-01,90,2025-11-12,381.87,1286.96,Cobrado
TRX-90002002,20250815,2025-08-15,PRD-04,60,2025-10-14,757.05,1282.1,Cobrado
TRX-90002006,20250816,2025-08-16,PRD-02,60,2025-10-15,176.43,1288.12,Cobrado
TRX-90002009,20250817,2025-08-17,PRD-02,90,2025-11-15,1161.29,1292.91,Cobrado
TRX-90002011,20250817,2025-08-17,PRD-01,120,2025-12-15,1199.98,1292.91,Pendiente
TRX-90002014,20250818,2025-08-18,PRD-03,90,2025-11-16,426.69,1295.93,Pendiente
TRX-90002016,20250819,2025-08-19,PRD-03,60,2025-10-18,559.9,1293.23,Cobrado
TRX-90002017,20250819,2025-08-19,PRD-01,90,2025-11-17,1082.54,1293.23,Pendiente
TRX-90002026,20250820,2025-08-20,PRD-03,120,2025-12-18,242.34,1293.81,Pendiente
TRX-90002027,20250821,2025-08-21,PRD-04,60,2025-10-20,731.52,1291.15,Cobrado
TRX-90002031,20250821,2025-08-21,PRD-03,90,2025-11-19,578.69,1291.15,Pendiente
TRX-90002035,20250822,2025-08-22,PRD-01,60,2025-10-21,184.8,1293.35,Cobrado
TRX-90002037,20250823,2025-08-23,PRD-01,120,2025-12-21,1138.55,1296.79,Pendiente
TRX-90002039,20250824,2025-08-24,PRD-03,60,2025-10-23,523.2,1299.14,Cobrado
TRX-90002044,20250825,2025-08-25,PRD-04,60,2025-10-24,323.95,1300.55,Cobrado
TRX-90002055,20250826,2025-08-26,PRD-04,120,2025-12-24,349.18,1299.11,Pendiente
TRX-90002059,20250827,2025-08-27,PRD-04,60,2025-10-26,152.82,1298.64,Cobrado
TRX-90002061,20250827,2025-08-27,PRD-05,90,2025-11-25,1538.26,1298.64,Pendiente
TRX-90002071,20250829,2025-08-29,PRD-04,60,2025-10-28,1134.1,1301.06,Cobrado
TRX-90002075,20250830,2025-08-30,PRD-02,30,2025-09-29,757.46,1306.78,Cobrado
TRX-90002089,20250902,2025-09-02,PRD-04,30,2025-10-02,925.4,1309.96,Cobrado
TRX-90002090,20250902,2025-09-02,PRD-05,90,2025-12-01,564.62,1309.96,Pendiente
